Vereinsname,Land,"aktueller Marktwert",Ablösesummen,Differenz,Durchschnittsalter
"SFC Torino",Italien,55287117,31175633,24111484,28.14
"CS Villareal",Spanien,122025092,97974523,24050569,26.95
"Sport Qäbälä",Aserbaidschan,48002486,23971553,24030933,27.36
"Kenmare United",Irland,34751941,10732798,24019143,27.27
"TSV St. Florian",Österreich,33710470,9729626,23980844,27.09
"Esportiva Linares",Spanien,57499626,33551686,23947940,27.18
"Rayo Pobla de Mafumet",Spanien,40266891,16387348,23879543,26.82
"Naxxar Soccer",Malta,32369336,8494498,23874838,25.32
"Unión Toledo",Spanien,43070779,19207134,23863645,27.05
"Kotorosl Yaroslavl",Russland,39188292,15380232,23808060,27.09
"SSC Mosta",Malta,28087931,4282825,23805106,25.68
"Møre Kristiansund",Norwegen,33451069,9647752,23803317,27.09
"KF Olsztyn",Polen,28851778,5060922,23790856,26.91
"KS Kavajë",Albanien,42259611,18533092,23726519,25.96
"IFF Sterbæk",Norwegen,42794626,19072682,23721944,27.41
"Stormbars FK",Litauen,30454819,6744120,23710699,26.36
"AS Wasquehal",Frankreich,28293040,4614378,23678662,25.41
"Salò Calcio",Italien,44725548,21054354,23671194,27.09
"SC Mechelen 1905",Belgien,39162226,15498773,23663453,25.30
"Central Vigo",Spanien,48421466,24763699,23657767,28.73
"RSE Winkel",Belgien,35597669,11988277,23609392,25.38
"Intra Brașov",Rumänien,35735247,12133108,23602139,27.48
"Tineret Mioveni",Rumänien,37005429,13406959,23598470,26.95
Keçiürspor,Türkei,33451394,9859539,23591855,25.35
"Zhetsyu Qaraghandy",Kasachstan,30330785,6743764,23587021,26.23
"Tähti Tampere",Finnland,37598087,14022229,23575858,27.77
"Deportiva Fuenlabrada",Spanien,41526398,18029202,23497196,25.55
"Padova Este",Italien,27059147,3575990,23483157,26.91
"SD Amorebieta",Spanien,50154505,26688959,23465546,27.50
"Rakvera JK",Estland,60585143,37192280,23392863,27.42
"Eendracht Tiel",Niederlande,32480585,9123100,23357485,27.09
"RCD Sestao",Spanien,30017450,6672012,23345438,26.14
"CR Lučko",Kroatien,70395644,47076527,23319117,26.91
"TSV Kitzbühel",Österreich,59844918,36546482,23298436,26.26
"SC Hasselt-Kermt",Belgien,36048771,12778888,23269883,26.59
"SK Békéscsaba 1913",Ungarn,49029787,25870311,23159476,26.35
"Sumqayıt CF",Aserbaidschan,43980530,20853686,23126844,27.18
"ASK Petrovac",Montenegro,54970264,31881881,23088383,27.09
"BO Praha 1903",Tschechien,26662309,3575268,23087041,25.64
"CS Onda",Spanien,39422344,16358528,23063816,27.09
"DSK Fortuna Wien",Österreich,56639052,33578499,23060553,27.64
"VGI Uddevalla",Schweden,50569359,27525868,23043491,27.48
"VfL Velbert",Deutschland,62622761,39605410,23017351,26.68
"Preußen Unterföhring",Deutschland,339981228,316986141,22995087,24.27
"CSA Suceava",Rumänien,37644358,14654951,22989407,27.09
"Atletiek Aalst",Belgien,28825884,5846189,22979695,26.52
"Oblast Astrakhan",Russland,71714163,48738006,22976157,26.28
"FSK Salo",Finnland,40140571,17180058,22960513,27.32
"Unire Botoșani",Rumänien,63888585,40966565,22922020,27.55
"SS Pâncota",Rumänien,50950210,28102440,22847770,26.86
"FK Vrapče 76",Kroatien,43332202,20535820,22796382,27.64
"Scuderia Benedetto",Italien,33087902,10299011,22788891,27.64
"Ultra Dvor KF",Mazedonien,43664050,20875199,22788851,26.09
"Arbroath Soccer",Schottland,29539414,6836938,22702476,27.00
"SK Auster Lustenau",Österreich,41632784,18933678,22699106,28.27
"Tosca Lucchese",Italien,55255344,32557538,22697806,27.61
"FK Sachsen Aue",Deutschland,698937586,676243421,22694165,23.05
"Tromsødahl FK",Norwegen,29433499,6786837,22646662,27.14
"Telford Midland",England,71826955,49186372,22640583,26.00
"Clonmel Town",Irland,29858406,7226998,22631408,26.05
"Hull Tigers",England,75558767,52941851,22616916,27.78
"EU Gibraltar",Gibraltar,59852084,37262777,22589307,27.36
"Frihed Fredericia",Dänemark,31159862,8600480,22559382,27.27
"Signdal FK",Norwegen,29856874,7339739,22517135,26.77
"FC Panda Târgu Jiu",Rumänien,108437187,85935580,22501607,27.91
"Bangor Town",Wales,28370403,5938195,22432208,25.27
"FC Piacenza 1929",Italien,28433900,6007264,22426636,25.25
"Dagenham Athletic",England,30413612,7997438,22416174,26.18
"Peterhead United",Schottland,34969708,12583369,22386339,28.17
"AFK Anif",Österreich,35867479,13500481,22366998,27.55
"Royaal Anderlecht",Belgien,156686480,134328449,22358031,26.42
Apaçilespor,Türkei,37528488,15191147,22337341,27.55
"Mesta Bansko KF",Bulgarien,28411755,6091142,22320613,26.23
"Real Koksijde",Belgien,59268660,36953067,22315593,27.95
"Royal Londerzeel",Belgien,28307287,5991926,22315361,26.91
"ARAL Baku",Aserbaidschan,50133905,27836016,22297889,27.68
"Thessaly Trikala",Griechenland,50974926,28681748,22293178,27.86
"SSC Oldenburg",Deutschland,60257156,37986166,22270990,27.91
"FV Badalona",Spanien,29882305,7617751,22264554,27.09
"Inter Hamoir",Belgien,37481648,15223493,22258155,26.23
"AOL Satu Mare",Rumänien,38332755,16187818,22144937,26.95
"Fortuna Hennef",Deutschland,109096628,86967673,22128955,28.00
"Atlantika Klaipėda",Litauen,32117843,9998190,22119653,26.48
"Campania Benevento",Italien,33538947,11435558,22103389,26.45
"Olympia Berlin",Deutschland,46544788,24457412,22087376,27.05
"Eendracht Petegem",Belgien,46100647,24078537,22022110,26.87
"AS Mutilva",Spanien,28095323,6074402,22020921,26.55
"Motherwell Soccers",Schottland,81181827,59190412,21991415,28.00
"SSC Portimão",Portugal,32126424,10157747,21968677,28.27
"FK Eindhoven City",Niederlande,27791932,5840155,21951777,28.14
"Sverige Trelleborg",Schweden,55571070,33630312,21940758,26.64
"Vercelli Calcio",Italien,72987143,51089313,21897830,26.55
"KF Široki Brijeg 1948","Bosnien und Herzegowina",217280950,195397748,21883202,24.42
"Iris Saloniki",Griechenland,47125808,25265399,21860409,26.32
"Legnica FK",Polen,44465148,22615067,21850081,26.30
"SK Victoria St. Pölten",Österreich,29183295,7334904,21848391,26.00
"La Louvière City",Belgien,37769950,15958750,21811200,26.39
"AC Alessandria",Italien,37034834,15315513,21719321,25.32
"Gimnastico Astorga",Spanien,34651569,12999561,21652008,26.55
"Mazow Radom",Polen,30771126,9153483,21617643,26.83
"FK Kuopio",Finnland,36221638,14622986,21598652,27.86
"OL Våluronga",Norwegen,50672422,29093759,21578663,26.50
"FKP Timișoara",Rumänien,29063652,7494581,21569071,27.14
"Kufsteiner SSC",Österreich,136080823,114528688,21552135,26.00
"FK Kissamikos",Griechenland,40118819,18589921,21528898,25.14
"Atlético Gondomar",Portugal,31426819,9944909,21481910,24.91
"Bólt Tórshavn 36",Färöer,27206647,5742640,21464007,25.64
"FVV Hamburg",Deutschland,26586078,5158766,21427312,25.86
"Stal Kharkiv",Ukraine,58278313,36852890,21425423,27.59
"Sportivo Sabadell",Spanien,33727425,12335483,21391942,26.82
"SSC Kallithea",Griechenland,34275178,12892207,21382971,25.55
"Olimpia Novgorod",Russland,32611691,11230345,21381346,26.68
"Draak Hertogenbosch",Niederlande,98296693,76933639,21363054,27.32
"TKF 1915 Šamorín",Slowakei,30084375,8731670,21352705,27.09
"Everton Soccer",England,69527273,48233670,21293603,27.91
"Dynamit Moskva",Russland,48641524,27349689,21291835,27.50
"St. Naas 1922",Irland,37623175,16356532,21266643,26.39
"Royal PG Valladolid",Spanien,40274169,19067211,21206958,24.74
"Olympia Marseille",Frankreich,108454373,87259185,21195188,27.13
"FC Boşakşehir",Türkei,118296791,97127910,21168881,27.13
"FTE Gaillard",Frankreich,41039059,19873685,21165374,26.43
"KS Busu Velipojë",Albanien,58821427,37674749,21146678,26.36
"FC Belém",Portugal,36314381,15211434,21102947,27.41
"Hellas Sundbyberg",Schweden,41336798,20330847,21005951,27.27
"SK Kongsvinger 1893",Norwegen,42315017,21314915,21000102,26.82
"Ostia Roma",Italien,25650738,4686892,20963846,26.00
"Uerdinger FSK",Deutschland,33404812,12452034,20952778,26.13
"Jadera Zadar",Kroatien,30295309,9353724,20941585,26.18
"ASS Nieciecza",Polen,46785328,25909086,20876242,27.55
"CD León",Spanien,30938973,10080373,20858600,26.82
"SFC Krasnoyarsk",Russland,34770344,13921702,20848642,26.30
"Unione Cittadella",Italien,32125008,11320211,20804797,26.27
"Śląskie Bielsko-Biała",Polen,29219649,8426913,20792736,27.73
"Juventus Dogana",San Marino,25750049,4988286,20761763,27.00
"FV Doncla Praha",Tschechien,45173793,24413608,20760185,26.09
"Międzynar Bełchatów",Polen,27791921,7038980,20752941,26.41
"Sori Lugansk",Ukraine,32183262,11434564,20748698,26.59
"SpVgg Hauenstein",Deutschland,30369610,9634950,20734660,25.36
"SK Skive 1902",Dänemark,24173403,3456634,20716769,26.55
"Krško CFC",Slowenien,29294974,8594906,20700068,26.68
"FV Austrien Salzburg",Österreich,36381473,15683856,20697617,26.77
"Guiseley United",England,181097717,160511279,20586438,25.41
"FK Tarxien",Malta,31042280,10503813,20538467,27.23
"OL Grorud",Norwegen,27800429,7266580,20533849,26.82
"Toscana Pisa",Italien,40613488,20088282,20525206,25.95
"Union Scunthorpe",England,27164279,6652117,20512162,27.23
"Športno Gorica",Slowenien,52063774,31555290,20508484,27.00
"SK Sokolov",Tschechien,30035002,9562181,20472821,26.86
"KV Târgu Mureș",Rumänien,84804133,64334333,20469800,25.87
"FK Poissy",Frankreich,45360286,24992505,20367781,27.32
"Sportivo Reggio",Italien,41223943,20866880,20357063,26.41
"Tórniko Zabrze",Polen,29357106,9008776,20348330,25.14
"1. FC Neckarelz",Deutschland,24913467,4582863,20330604,25.27
"FK Cham",Schweiz,39391159,19089211,20301948,27.82
"Ponte Mozzano Calcio",Italien,24361674,4076699,20284975,27.09
"SS St. Martina Franca",Italien,26350487,6151907,20198580,26.05
"Sporting Boavista",Portugal,80477604,60300474,20177130,27.52
"Zhunit St. Peterburg",Russland,163083563,142924512,20159051,25.91
"Vitoria Constanța",Rumänien,47672841,27530416,20142425,27.45
"AFK Kapan",Armenien,42279041,22217474,20061567,27.05
"SK FC Leva",Estland,23702995,3670071,20032924,26.64
"Athletic Tuam",Irland,41207229,21233764,19973465,25.75
"NFV Meppen",Deutschland,42303371,22342556,19960815,26.09
"AS Strassen",Luxemburg,29602815,9678985,19923830,25.41
"POSK Saloniki",Griechenland,33308076,13397304,19910772,26.18
"SSC Tra Penía",San Marino,23829025,3996963,19832062,26.23
"Benzină Ploiești",Rumänien,36307374,16483548,19823826,27.00
"FCB Aubstadt",Deutschland,28968687,9147530,19821157,25.18
"Vidi Székesfehérvár",Ungarn,48378321,28570721,19807600,26.09
"Academica Cluj",Rumänien,38339364,18539149,19800215,26.91
"Brechin Town",Schottland,24693203,4962658,19730545,26.73
"IF Finnsnes 23",Norwegen,23298443,3643721,19654722,26.27
"SC Waller Seekirchen",Österreich,31968707,12379964,19588743,27.68
"Sportfreunde Spielberg",Deutschland,27605063,8171884,19433179,26.27
"Thuner SC",Schweiz,40620096,21243501,19376595,28.00
Ümrüsyespur,Türkei,27968919,8605856,19363063,26.23
"FKK Annabichl",Österreich,26076561,6717116,19359445,27.27
"KOZ Werkendam",Niederlande,36767647,17458255,19309392,26.18
"ZA Dniprodzerzhynsk",Ukraine,36491439,17199037,19292402,26.36
"RCD Sinarcas",Spanien,31450303,12195237,19255066,25.36
"Atleticó Sarno",Italien,30302841,11050975,19251866,26.18
"Torna Budaörs",Ungarn,27359208,8127033,19232175,26.59
Menemensport,Türkei,31592621,12390771,19201850,26.05
"Uyum Adana",Türkei,31489171,12290266,19198905,27.32
"Desportivo Famalicão",Portugal,24170294,4993092,19177202,25.77
"Unione Padova",Italien,30415421,11240610,19174811,26.78
"SL Hradiště",Tschechien,32253317,13109580,19143737,27.95
"Ipswich Boys",England,32051327,12934978,19116349,27.50
"Rudar Dob SK",Slowenien,45695608,26599093,19096515,27.86
"SBK Kaliningrad",Russland,23298168,4207806,19090362,26.78
"FV Radan Kotor",Montenegro,60554740,41470276,19084464,27.27
"AS Chișinău",Moldawien,28708294,9671188,19037106,26.82
"Tottenham Rooster",England,170186559,151188423,18998136,26.48
"Turpedia Armavir",Russland,31159223,12190405,18968818,27.26
"Ussi Yerevan",Armenien,27028010,8061561,18966449,26.41
"Union Toulouse",Frankreich,35701817,16749634,18952183,29.09
"Airdrie United",Schottland,24533256,5588731,18944525,26.59
"Sicilia Siracusa",Italien,40171438,21275819,18895619,26.68
"Goloboseray FK",Türkei,88156014,69318657,18837357,27.55
"LMS Lausanne 1943",Schweiz,34956298,16164473,18791825,27.09
"Essener TSV",Deutschland,23993702,5207256,18786446,26.00
"Vorvaard Haugesund",Norwegen,26959568,8222488,18737080,25.55
"FK Golfo di Stabia",Italien,22847999,4114407,18733592,24.31
"QSFC Dumfries",Schottland,41608777,22882000,18726777,27.35
"Rot-Weiß Ingolstadt",Deutschland,24349681,5629625,18720056,25.77
"Montrose City",Schottland,22897637,4217138,18680499,26.73
"RNK Walldorf",Deutschland,22812659,4133051,18679608,25.83
"Leyton London",England,29248185,10579204,18668981,28.00
"Intra Orašje","Bosnien und Herzegowina",27335363,8682842,18652521,26.91
"Uni Søborg",Dänemark,39696803,21044446,18652357,26.32
"Sheffield Oils",England,24446634,5798781,18647853,25.18
"SOF Angers",Frankreich,29653556,11007103,18646453,24.41
"KIS Vaasa",Finnland,24207574,5581319,18626255,26.14
"BO Norrby",Schweden,45948113,27335049,18613064,27.09
"NL Barendrecht",Niederlande,22446153,3833135,18613018,26.78
"ZS Luzern",Schweiz,29881568,11294410,18587158,27.41
"Juventus Prato",Italien,24781212,6242387,18538825,26.14
"Sliema Nomads",Malta,23198832,4660076,18538756,27.59
"Vitória Freamunde",Portugal,27730198,9204791,18525407,25.96
"KS Adanaspur",Türkei,32951431,14428144,18523287,27.14
"Speertak Praha",Tschechien,29752645,11244302,18508343,27.55
"SI Hobro",Dänemark,32054663,13563280,18491383,26.73
"Unirea Brăila",Rumänien,55575798,37085052,18490746,27.27
"SSK Šiauliai",Litauen,39617934,21129911,18488023,26.13
"IP Ljungskile",Schweden,24126711,5676868,18449843,25.45
"KV Aschtarak",Armenien,32011795,13563629,18448166,27.36
"FK Koprivnica",Kroatien,26077370,7631860,18445510,27.39
"KV Wohlen",Schweiz,38632632,20219409,18413223,26.00
"KV Tra Fiora",San Marino,86389459,68001431,18388028,27.30
"JK Tallinn",Estland,25192114,6820561,18371553,25.61
"Arsenal Mansfield",England,22477204,4106378,18370826,25.73
"ASS Södertälje",Schweden,24505937,6138027,18367910,26.50
"SC Livorno",Italien,28364321,10011882,18352439,26.91
"GKS Szczecin",Polen,91707466,73484340,18223126,27.61
"Sportiva Leioa",Spanien,22600391,4377672,18222719,28.45
"Rotherham County",England,22445781,4231470,18214311,27.23
"Tortona Calcio",Italien,21989688,3780860,18208828,26.26
"FK Storm Graz ",Österreich,133235687,115038766,18196921,26.95
"Walsall City",England,37468314,19295180,18173134,26.73
"Corby Athletic",England,22856711,4713884,18142827,26.36
"FC Petite Mbour",Lettland,27612048,9477432,18134616,27.23
"Jekla Kidričevo",Slowenien,33555029,15430445,18124584,26.32
"Østfold Fredrikstad",Norwegen,26805742,8696226,18109516,26.64
"Annan SC",Schottland,30978607,12908041,18070566,27.17
"KS Leftra Gjirokastër",Albanien,25436201,7372793,18063408,26.91
"FC Inter Znojmo",Tschechien,23220323,5178697,18041626,24.91
"FV Venlo 02",Niederlande,53282626,35248930,18033696,26.09
" YFC Diósgyőr",Ungarn,22514764,4494215,18020549,27.13
"KS Kamëz",Albanien,30273352,12264943,18008409,25.92
"Uni Murcia",Spanien,23391268,5396262,17995006,26.50
"Altrincham Trafford",England,21050845,3069959,17980886,27.27
"FK Nijmegen 1900",Niederlande,75388019,57409436,17978583,27.70
"JKB Mikkeli",Finnland,35226815,17256987,17969828,26.13
"Darkia Chișinău",Moldawien,61665662,43737709,17927953,26.91
"Bavaria Buchbach",Deutschland,32377259,14456640,17920619,27.23
"Ethnikos Volos",Griechenland,27024899,9117813,17907086,26.95
"Olympique Laval",Frankreich,59811384,41907847,17903537,26.59
"Lahut Idzevan",Armenien,38987593,21094771,17892822,29.14
"Fier Galați",Rumänien,31158204,13280193,17878011,27.09
"SVC Ekenäs",Finnland,24463884,6597263,17866621,27.64
"TSK Ivanovo",Russland,37038872,19209345,17829527,28.05
"Athlético Penafiel",Portugal,32406195,14589645,17816550,25.59
"ASK Paços de Ferreira",Portugal,321460313,303666090,17794223,26.78
"Atlético Línea",Spanien,21726769,3946163,17780606,25.64
Kayserikulübü,Türkei,23903663,6202603,17701060,27.59
"Rangers IF",Dänemark,43456810,25762143,17694667,27.23
"Diano FC",Lettland,27365791,9678639,17687152,25.79
"Hayes Swords",England,25387504,7833455,17554049,25.95
"FN Rotterdam",Niederlande,25351748,7798487,17553261,25.77
"FC Geras Basel",Schweiz,21560425,4014944,17545481,26.55
"TSV Zell am See",Österreich,50092582,32549437,17543145,26.68
"Yeovil Cherries",England,50297155,32767689,17529466,27.00
"Brianzoli Monza",Italien,23110121,5603998,17506123,26.05
"FK Ajaccio",Frankreich,21569465,4097990,17471475,27.68
"AS Vicenza",Italien,63731848,46275001,17456847,27.64
"Atletico Taranto",Italien,25204591,7763927,17440664,26.00
"Lomb Lumezzane",Italien,26941711,9515197,17426514,27.41
"Lazwáj Katowice",Polen,64832564,47449047,17383517,28.26
"FK Chambly",Frankreich,21246630,3888339,17358291,26.05
"Unione Spezia",Italien,57788206,40445534,17342672,26.91
"DC Drumcondra",Irland,22878301,5543059,17335242,25.77
"Coventry Town",England,27553395,10224120,17329275,27.18
"Volgar Saratov",Russland,24117317,6864427,17252890,26.77
"Gunçlorbirleği AK",Türkei,86695011,69452102,17242909,28.64
"QP Glasgow 1867",Schottland,38703232,21468291,17234941,27.41
"Peterborough Elitists",England,45837143,28636249,17200894,27.17
"Dalälven Borlänge",Schweden,25894441,8707721,17186720,25.91
"Chevrokry Głogów",Polen,26479681,9295674,17184007,26.96
"Victoria Düsseldorf",Deutschland,23023207,5846687,17176520,27.05
"Madeíro Funchal",Portugal,27843953,10729796,17114157,26.36
"FC Narva Buse",Estland,108264892,91212549,17052343,28.14
"Atlético Xàtiva",Spanien,31348541,14316140,17032401,26.91
"SC Agrigento",Italien,21880538,4863385,17017153,26.27
"IS Höllviken 1934",Schweden,26363150,9355642,17007508,26.14
"Holstein Flensburg",Deutschland,33351756,16353665,16998091,26.41
"Olympique Geel",Belgien,26741508,9745570,16995938,26.32
"Crawley Sports",England,24256007,7316683,16939324,26.35
"Zhkupje CF",Mazedonien,29232688,12322837,16909851,26.95
"RSD Santander",Spanien,54510093,37624102,16885991,27.05
"Kesımboşaspar FK",Türkei,43015138,26151161,16863977,25.82
"SSV Modena",Italien,42280856,25424847,16856009,26.68
"FC Pagani",Italien,23362353,6507476,16854877,27.41
"SSC Cremona",Italien,28613879,11778787,16835092,28.23
"Union Weiz",Österreich,46683106,29895801,16787305,28.39
"SAT Velsen",Niederlande,42583138,25838724,16744414,27.68
"US Lyon 1965",Frankreich,20867410,4124095,16743315,27.00
"Racing SC Liège",Belgien,22795118,6057668,16737450,26.41
"Visina Ivanjica",Serbien,22075448,5367964,16707484,26.59
"Pohjanmaa Seinäjocki",Finnland,32913670,16232386,16681284,26.45
"NK Niš",Serbien,46396831,29752365,16644466,26.82
"Spartak Nizhnekamsk",Russland,27214734,10627275,16587459,27.05
"FC Tiber",Italien,33369580,16819506,16550074,27.23
"Uniona Matera",Italien,20815090,4281767,16533323,26.59
"Intra Baku",Aserbaidschan,24053731,7531758,16521973,26.86
"AK Istočno 1909","Bosnien und Herzegowina",36237877,19735136,16502741,26.91
"Gaz Pskov",Russland,23894445,7403838,16490607,26.50
"Olimpic Cobh",Irland,35442365,19000629,16441736,26.41
"SA Vaskalund",Schweden,21582655,5152663,16429992,25.57
"KS Besëlithia Lezhë",Albanien,33804989,17389427,16415562,27.41
"Cherkasy FC",Ukraine,28733882,12324729,16409153,26.09
"EF Deinze",Belgien,31644616,15285547,16359069,26.45
"USC Allerheiligen",Österreich,26534874,10202905,16331969,26.95
"Italia Santarcangelo",Italien,32725869,16396717,16329152,27.13
"Íþróttir Hafnarfjörður",Island,29970033,13703445,16266588,25.74
"Sportiva Caserta",Italien,24356292,8098746,16257546,26.45
"Zemlja Bălți",Moldawien,23156145,6901126,16255019,25.64
"KF Dunajská 1905",Slowakei,54622941,38368312,16254629,26.18
"FC Ballinamallard",Nordirland,55941994,39724376,16217618,26.91
"CF Croix",Frankreich,31628059,15415242,16212817,27.30
"Scezny Pruszków",Polen,25237647,9041556,16196091,27.59
"Kriti Platanias",Griechenland,57146281,40953914,16192367,28.23
"Union Kutaisi",Georgien,28835238,12648426,16186812,27.41
"Zmajevi Gradačac","Bosnien und Herzegowina",91051691,74894060,16157631,27.88
Şunıarfanorspor,Türkei,23701480,7547906,16153574,28.18
"Dundee FK",Schottland,19933213,3833207,16100006,25.96
"AS Jerez",Spanien,20466092,4367942,16098150,27.18
"Shrewsbury United",England,56555409,40477087,16078322,28.73
"Torpdeo Slutsk",Weißrussland,64283093,48218505,16064588,27.70
"Haffa FC",Israel,30917856,14865798,16052058,27.05
"ASS Nardò",Italien,28997773,12960015,16037758,25.78
"Asınördü İzmir",Türkei,20660526,4657578,16002948,26.05
"KF Libertatis",San Marino,36196550,20219361,15977189,25.43
"SK Ankarügücü",Türkei,33254041,17294408,15959633,27.41
"Burnley Clarets",England,20851339,4905487,15945852,27.00
"DB Spakenburg",Niederlande,19784502,3856475,15928027,25.95
"Gimnastikos Argos",Griechenland,33068926,17140919,15928007,27.61
"Dnepr Zaporizhya",Ukraine,25232910,9305885,15927025,27.55
"Brentford Bees",England,58807914,42899173,15908741,27.42
"Puglia Andria",Italien,26667379,10773875,15893504,27.91
"SV Kalsdorf",Österreich,22564250,6672921,15891329,26.64
"Hemmerup AK",Dänemark,23194773,7397190,15797583,26.86
"Umbria Folignese",Italien,20283316,4503008,15780308,26.77
"GK Kauniainen",Finnland,38465848,22705630,15760218,28.23
"Žuti Visoko","Bosnien und Herzegowina",29246734,13510000,15736734,27.18
"Naardvo NK",Norwegen,24027111,8323768,15703343,25.09
"Soccer Burreli",Albanien,20774201,5075008,15699193,27.23
"VFC Zlaté Moravce",Slowakei,28533184,12866236,15666948,25.36
"TuS Meerbusch 65",Deutschland,27324029,11669573,15654456,26.91
"KF Sezimovo Ústí",Tschechien,19882049,4242976,15639073,27.32
"Zavrč FK",Slowenien,72534400,56914627,15619773,27.65
"Royal Jaén",Spanien,37092212,21480413,15611799,27.65
"FK Gračanica","Bosnien und Herzegowina",32469998,16888732,15581266,28.64
"Sporting Pontisola",Italien,22936209,7362396,15573813,27.04
"IK Ängelholm",Schweden,40620639,25054495,15566144,27.13
"Veržej SC",Slowenien,19946306,4383423,15562883,27.86
"Atlético Varzim",Portugal,32205635,16648816,15556819,27.86
"FC Caen",Frankreich,39088598,23532678,15555920,27.27
"VIK Helsinki",Finnland,47353108,31808431,15544677,26.35
"SK Yuzhno",Russland,28521438,13021087,15500351,27.64
"VF Groningen",Niederlande,30172676,14677566,15495110,27.00
"Sportska Gabela","Bosnien und Herzegowina",22549751,7072007,15477744,28.09
"KF Rila Razlog",Bulgarien,40305727,24833148,15472579,26.83
"1. FFC Simmering",Österreich,20096460,4636179,15460281,25.82
"Woolfield FC",Nordirland,24185932,8726329,15459603,28.18
"Union Stadlau",Österreich,33030112,17576075,15454037,25.45
"FK St. Mirror",Schottland,42833888,27387423,15446465,26.70
"FK Parndorf",Österreich,26612646,11193468,15419178,26.96
"Robot Skopje",Mazedonien,21253917,5836734,15417183,27.14
"Universitate Clinceni",Rumänien,20587466,5180727,15406739,26.95
"Maccabi SC TA",Israel,31913815,16512606,15401209,26.86
"Intra Avellino",Italien,57672869,42330934,15341935,26.73
"KS Mamur",Albanien,19785408,4445422,15339986,27.61
"Northfleet Conquerors",England,116961383,101639772,15321611,27.18
"UD Portugalete",Spanien,32076723,16758650,15318073,26.95
"Benfica Luxemburg",Luxemburg,20317520,5003951,15313569,27.45
"Tolmin CF",Slowenien,22433784,7131574,15302210,25.59
"Concordie Constanța",Rumänien,41781638,26482129,15299509,27.64
"Olympique Lausanne",Schweiz,19559247,4268324,15290923,25.68
"RCD L’Hospitalet",Spanien,60769074,45519510,15249564,26.23
"Longford City",Irland,19381685,4133227,15248458,26.09
"ASS Dundee",Schottland,25804125,10566591,15237534,28.14
"US Lepe",Spanien,56372078,41140969,15231109,26.48
"FV Dumbarton 1871",Schottland,40767411,25537986,15229425,27.77
"Inter Olbia",Italien,20174506,4989587,15184919,27.09
"SCC Târgovişte",Rumänien,19390363,4233779,15156584,27.09
"Ballybofey FC",Irland,25835433,10695740,15139693,28.14
"NK Prijedor","Bosnien und Herzegowina",31467795,16341978,15125817,28.68
"Kriger Helsingør",Dänemark,29650638,14538945,15111693,27.95
"FK Differdange",Luxemburg,38839389,23797512,15041877,27.26
"AK Wallern",Österreich,20772520,5747423,15025097,26.64
"SE Zalaegerszeg",Ungarn,21902207,6883789,15018418,26.00
"Greenock AFK",Schottland,41462885,26468575,14994310,26.00
"Dinamo Bolnisi",Georgien,43044666,28079098,14965568,27.50
"Zenita Kranj",Slowenien,23519318,8558714,14960604,25.86
"MFC Budapest",Ungarn,23204622,8263329,14941293,28.91
"Konyaaltı Antalya",Türkei,28547072,13645021,14902051,27.26
"ASS Gibraltar",Gibraltar,20638417,5744855,14893562,25.73
"FT Grenoble",Frankreich,33535183,18641989,14893194,26.61
"Usk Newport",England,20173304,5328007,14845297,25.57
"Mladi Podgorica FK",Montenegro,129230450,114401883,14828567,25.76
"FK Neretva Mostar","Bosnien und Herzegowina",44217206,29399853,14817353,27.46
"Sportski Imotski",Kroatien,46954907,32153817,14801090,28.64
"RSV Lingen",Deutschland,20445874,5662839,14783035,25.45
"FC Kristianstad",Schweden,20735976,5964780,14771196,25.18
"AC Empoli",Italien,23754987,8989449,14765538,27.86
"Mitchelstown CF",Irland,20100595,5351180,14749415,26.41
"FVA Hard",Österreich,28209949,13515256,14694693,27.48
"Inter Floriana",Malta,60172583,45479221,14693362,27.32
"Rata Macerata 1919",Italien,27848094,13188160,14659934,26.87
"Københavner FK",Dänemark,31330641,16683082,14647559,25.68
"Watford Elks",England,20492820,5871662,14621158,26.91
"Lombardia Como",Italien,25356353,10739776,14616577,27.74
"Juvento Viterbo",Italien,30083391,15536818,14546573,25.55
"Ejderi Kayseri",Türkei,19337497,4797700,14539797,26.23
"Gainsborough United",England,20277915,5763208,14514707,26.61
"Berwick Rovers",Schottland,18778746,4273612,14505134,25.68
"WSV Kristall Wattens",Österreich,30263677,15764109,14499568,27.36
"FK Nancy",Frankreich,95438136,80987025,14451111,26.70
"Lealta Villaviciosa",Spanien,20841944,6448148,14393796,27.23
"Wolverhampton Town",England,31553413,17166424,14386989,26.68
"Juventude Sines",Portugal,23970316,9597686,14372630,25.86
"Zmajevi Voždovac",Serbien,59258897,44892103,14366794,28.09
"Vlaanderen Hamme",Belgien,20055060,5699590,14355470,26.95
"SSC Leffe-Albino",Italien,26006250,11668839,14337411,26.64
"Pomorskie Bytów",Polen,48453872,34117664,14336208,27.17
"RSD Lucena",Spanien,21864047,7539130,14324917,27.45
"KSK Radomlje",Slowenien,33440987,19121569,14319418,28.50
"SC Ballymena",Nordirland,29340987,15059162,14281825,25.91
"Sterk Kristiansand",Norwegen,20049894,5785587,14264307,24.77
"Dynamit Zagreb",Kroatien,54861267,40698123,14163144,28.64
"Podla Białystok",Polen,36245452,22092696,14152756,26.32
"Santiago Somozas",Spanien,44117484,29972329,14145155,27.14
