Vereinsname,Land,"aktueller Marktwert",Ablösesummen,Differenz,Durchschnittsalter
"Olimpia Novgorod",Russland,36748948,15285647,21463301,26.55
"SVC Ekenäs",Finnland,25019177,3663529,21355648,27.50
"FK Banana Yerevan",Armenien,31569915,10246632,21323283,27.52
"Unione Pescara",Italien,46160301,24844451,21315850,28.50
"AK Sluvaria Praha",Tschechien,232929724,211614085,21315639,26.00
"FK Petrol Hîncești",Moldawien,36030790,14744994,21285796,28.91
"Ata Balıkesir",Türkei,43981664,22723821,21257843,26.95
"FC Phynx",Gibraltar,52683590,31438370,21245220,26.64
"SSC Huskvarna",Schweden,27477589,6256964,21220625,26.41
"Stevenage Deers",England,26948596,5747982,21200614,25.68
"Yekatarina Yakutsk",Russland,31187088,10009552,21177536,26.17
"IF Ranheim",Norwegen,30016548,8928036,21088512,25.67
"KS Grimstad",Norwegen,32595271,11574306,21020965,28.64
"Inter Renate",Italien,29167717,8170082,20997635,26.77
"Dilara Gor FC",Georgien,32257988,11263720,20994268,25.86
"NN Tromsø",Norwegen,82392090,61412682,20979408,26.95
"Bjelovar Ždralovi",Kroatien,34100387,13175881,20924506,24.82
"Atletico Forlì",Italien,24333454,3412799,20920655,26.41
"SCF Cowdenbeath",Schottland,33083772,12163570,20920202,28.36
"FC Štip 95",Mazedonien,45086167,24189783,20896384,26.59
"FV Doncla Praha",Tschechien,52142876,31324518,20818358,26.86
"DB Spakenburg",Niederlande,32809268,12032272,20776996,27.39
"Uni Svishtov 48",Bulgarien,38612988,17836075,20776913,28.22
"DAX Silkeborg",Dänemark,41271569,20510019,20761550,27.14
"EU Gibraltar",Gibraltar,40129921,19398758,20731163,28.68
"Arsenal Mansfield",England,38750132,18040208,20709924,26.04
"FK Parndorf",Österreich,29164762,8457148,20707614,27.14
"SK Zvezda Belgrad",Serbien,43342389,22669842,20672547,27.61
"Zelena Stara Sagora",Bulgarien,58278168,37619788,20658380,27.73
"Športno Gorica",Slowenien,39649752,18996153,20653599,27.39
"Inter Zmijavci",Kroatien,49066768,28434530,20632238,28.14
"FF Sollenau 1905",Österreich,155409684,134830688,20578996,29.05
"FTA Porvoo",Finnland,29265376,8710779,20554597,26.00
"Plymotuh Emigrants",England,35212083,14683564,20528519,27.55
"VBC Kortrijk",Belgien,41280601,20766932,20513669,26.54
"Reading Kings",England,32267254,11789673,20477581,26.36
"Oblast Astrakhan",Russland,41541377,21088084,20453293,26.57
"Sportiva Leioa",Spanien,31800518,11495329,20305189,26.26
"Athlético Penafiel",Portugal,24639597,4379355,20260242,25.82
"Atlético Talavero",Spanien,43397683,23162201,20235482,26.73
"NSK Olimpiko","Bosnien und Herzegowina",37357119,17123940,20233179,27.45
"NJL Farum",Dänemark,77616119,57409927,20206192,28.00
"Unione Rimini",Italien,25071248,4928033,20143215,26.32
"Racing Tenerife",Spanien,289699087,269590156,20108931,24.25
"Radar Pljevlja",Montenegro,42813545,22782814,20030731,25.43
"JKA Ylivieska",Finnland,33173373,13149104,20024269,27.36
"Gjumri FC",Armenien,50149762,30129731,20020031,25.65
"Lyrtish Pavlodar",Kasachstan,24463366,4444259,20019107,27.27
"1. FC Bremer Neustadt",Deutschland,27826094,7875339,19950755,27.09
"Høgesund FC",Norwegen,30931697,11001645,19930052,27.35
"Cherno Burgas",Bulgarien,37836151,17913039,19923112,26.32
"ASS Frascati Rom",Italien,33653367,13741769,19911598,25.68
"KF Bosna Kakanj","Bosnien und Herzegowina",59397265,39505756,19891509,28.18
"KFV Rijeka",Kroatien,97370271,77482970,19887301,27.82
"Seraing United",Belgien,28266340,8430765,19835575,26.52
Göztepspor,Türkei,39793963,19959167,19834796,27.32
"Carmathen United",Wales,37994856,18233225,19761631,28.77
"SC Waller Seekirchen",Österreich,40960259,21210217,19750042,28.41
"AS Vicenza",Italien,55752385,36071292,19681093,26.68
"Soda Jönköping",Schweden,41920279,22258169,19662110,27.83
"ASK Karviná",Tschechien,30288932,10661982,19626950,26.52
" YFC Diósgyőr",Ungarn,30515934,10922259,19593675,28.05
"Potenza Melfi",Italien,47430834,27843848,19586986,25.87
"Banja Luka CF","Bosnien und Herzegowina",54139898,34557908,19581990,25.73
"AFC Hemel",England,31873905,12300201,19573704,28.09
"Metalac Surdulica",Serbien,29503767,9931673,19572094,26.55
"Ferrara Calcio",Italien,36785476,17214762,19570714,26.27
"SCC Târgovişte",Rumänien,67519460,48062627,19456833,28.91
"Breda FC",Niederlande,50643574,31215228,19428346,27.52
"Braintree Union",England,26904166,7500979,19403187,27.05
"Atlético Línea",Spanien,36353691,17025423,19328268,27.45
"Omiš FK",Kroatien,45653825,26330486,19323339,26.50
"Guijuelo CF",Spanien,33068069,13780085,19287984,26.82
"Inter Hamoir",Belgien,30246249,11034719,19211530,26.59
"FK Gračanica","Bosnien und Herzegowina",25355921,6192778,19163143,27.64
"LMS Lausanne 1943",Schweiz,32724078,13588340,19135738,27.27
"RCD L’Hospitalet",Spanien,53561918,34448450,19113468,26.00
"Bullev Vratsa FK",Bulgarien,23688231,4646769,19041462,25.05
"VL Degerfors",Schweden,29774493,10812261,18962232,27.91
"Unión Toledo",Spanien,28178732,9230204,18948528,27.00
"JK Sillam",Estland,22752732,3867418,18885314,26.00
"Racing San Sebastián",Spanien,28448413,9579828,18868585,27.27
"Ethnokos Evosmos",Griechenland,25332973,6475955,18857018,27.13
"UK Wilrijk",Belgien,35363041,16530484,18832557,27.64
"Inter Brno",Tschechien,31716584,12916770,18799814,26.17
"IKK Klaksvík",Färöer,30657225,11858675,18798550,28.32
"SK Austrien Wien",Österreich,85839012,67083110,18755902,24.74
"SG Orenburg",Russland,50390701,31639008,18751693,26.00
"OLFK Bischofswerda",Deutschland,26964744,8226941,18737803,26.64
"Atom Peristeri",Griechenland,34806419,16086103,18720316,27.27
"Cáceres Extremadura",Spanien,56268071,37567007,18701064,27.45
"FC Zagreb",Kroatien,42134077,23435210,18698867,27.27
"Sportivo Mondorf",Luxemburg,22602122,3920757,18681365,27.36
"Woolfield FC",Nordirland,73748055,55093936,18654119,26.87
"Benzină Ploiești",Rumänien,38367226,19815993,18551233,26.77
"FC Halle a.d.Saale",Deutschland,132940354,114395207,18545147,24.96
"Atletic Pembroke",Malta,22928473,4504912,18423561,27.04
"Kidderminster Warriors",England,24002652,5628778,18373874,26.32
"OA Nikosia",Zypern,35005403,16687722,18317681,26.59
"Tombola Tuzla","Bosnien und Herzegowina",46502632,28196125,18306507,27.13
"Zhunit St. Peterburg",Russland,66970137,48673550,18296587,28.18
"SSC Erfurt",Deutschland,27864264,9604167,18260097,27.70
"BK Mjällby",Schweden,28448624,10192888,18255736,25.45
"FAK Kemi",Finnland,21592759,3399949,18192810,27.09
"Dukla Příbram",Tschechien,21871090,3680139,18190951,27.64
"Sportsklub Odense",Dänemark,26784520,8603522,18180998,26.13
"KFK Kisvárda",Ungarn,35785327,17609743,18175584,26.30
"KIS Vaasa",Finnland,41992490,23819502,18172988,26.74
"Darkia Chișinău",Moldawien,37003388,18831210,18172178,27.00
"Sportfreunde Bayreuth",Deutschland,29814987,11644000,18170987,27.73
"Luleå SK",Schweden,23910368,5801115,18109253,26.22
"RSD Ferrol",Spanien,49145621,31077969,18067652,26.45
"Vamos La Roda",Spanien,23501712,5436710,18065002,26.77
"Alemannia Marl-Hüls",Deutschland,82637838,64580129,18057709,20.90
"SSC Lugano",Schweiz,65749896,47703317,18046579,27.55
"KFS Acharnes",Griechenland,48648422,30606279,18042143,26.78
"Union Verl",Deutschland,31416356,13380832,18035524,25.39
"Olympique Laval",Frankreich,32800463,14778110,18022353,29.09
"FC Den Haag",Niederlande,21726718,3732929,17993789,26.64
"Sportive Virton",Belgien,48135208,30148470,17986738,27.30
"Wallonia Ciney",Belgien,38812142,20887997,17924145,27.86
"RR Kirkcaldy",Schottland,37779356,19957957,17821399,26.05
"Frihed Fredericia",Dänemark,25940813,8137597,17803216,27.68
"QIF Göteborg",Schweden,26559077,8777764,17781313,28.00
Hecattespur,Türkei,36984846,19219509,17765337,27.41
"Cardinal Woking",England,77867279,60146240,17721039,26.82
"TUS Leoben",Österreich,32627563,14936447,17691116,27.09
"SC Ballymena",Nordirland,21362488,3691863,17670625,26.26
"Olga Samara",Russland,39190823,21540668,17650155,27.09
"Deportiva Llagostera",Spanien,32565716,14928713,17637003,26.45
"SK Ankarügücü",Türkei,41324200,23689248,17634952,27.05
"Găgăuzia Ceadîr-Lunga",Moldawien,22624320,4992233,17632087,26.91
"FV Cavese Calcio",Italien,21568452,3941251,17627201,26.45
"Zefçi Baku",Aserbaidschan,36278671,18655964,17622707,27.32
"ASK Petrovac",Montenegro,67142214,49562304,17579910,26.14
"SA Jura Sued",Frankreich,36646064,19075599,17570465,26.36
"Croatia Čapljina","Bosnien und Herzegowina",27271155,9704776,17566379,27.23
"Sportiva Montegiardino",San Marino,39354088,21815221,17538867,26.79
"ESS Falkirk",Schottland,31084014,13639381,17444633,26.32
"Clonmel Town",Irland,39701655,22279785,17421870,27.55
"Visina Ivanjica",Serbien,25056742,7662236,17394506,27.50
"GK Kauniainen",Finnland,23944110,6578236,17365874,26.48
"Athletico Guimarães",Portugal,28573104,11224841,17348263,26.86
"OL Zmay Ljubljana",Slowenien,80986837,63642108,17344729,27.32
"Atlantika Klaipėda",Litauen,41100433,23781231,17319202,29.05
"FC Mattersburg 1921",Österreich,59405313,42086894,17318419,25.86
"1. SC Pardubice",Tschechien,33385928,16076485,17309443,26.42
"Teplice CF",Tschechien,49567900,32303743,17264157,27.55
"1. FC Karlsruhe",Deutschland,32873207,15630008,17243199,26.38
"IHS Käpylä",Finnland,37455518,20280022,17175496,26.77
"Alf Sandnes 1913",Norwegen,21725892,4580215,17145677,26.73
"Zelen Banovići KF","Bosnien und Herzegowina",29365327,12230541,17134786,26.41
"Opava FV",Tschechien,36360455,19266469,17093986,28.14
"Taurul Chișinău",Moldawien,37122718,20166781,16955937,26.32
"Union Toulouse",Frankreich,51452955,34536400,16916555,28.36
"Íþróttir Hafnarfjörður",Island,57432143,40530815,16901328,28.00
"ISK Grindavík",Island,29605804,12709082,16896722,28.41
"FKS Kriens",Schweiz,21112484,4258899,16853585,27.13
"Wolverhampton Town",England,25670373,8819026,16851347,25.68
"Bavaria Buchbach",Deutschland,358230380,341426789,16803591,25.05
"SBK Pfullendorf",Deutschland,21178912,4393473,16785439,29.64
"CS Lanzarote",Spanien,20680607,3949818,16730789,27.18
"Borussia Rehden",Deutschland,20441981,3738945,16703036,26.41
"Charlton Haddocks",England,68304865,51612861,16692004,26.26
"Pohjanlahti Vaasa",Finnland,33483908,16801438,16682470,27.50
"SSV Olginatese",Italien,48988225,32311480,16676745,26.59
"Toten Raufoss",Norwegen,28753924,12127305,16626619,26.68
"FFK Dornbirn",Österreich,29630904,13007672,16623232,27.27
"Nissan Halmstad",Schweden,29120437,12512598,16607839,27.50
"Saarbrückener SC",Deutschland,49544287,32938181,16606106,27.86
"Ville Rennes",Frankreich,25074135,8486247,16587888,27.18
"Rayo Jumilla",Spanien,38261572,21694483,16567089,27.05
"KS Chojnice 35",Polen,30123410,13563263,16560147,25.39
"KN Galebi",Slowenien,22244493,5695207,16549286,25.95
"ASK Ehegnadzor",Armenien,46295725,29746522,16549203,27.27
Adalanyasport,Türkei,28298641,11750760,16547881,25.95
"Spotivo Zigi",Lettland,21944712,5415461,16529251,27.14
"Sporting Aarau",Schweiz,44178059,27658365,16519694,28.55
"JK Pärnu",Estland,21794114,5315626,16478488,26.45
"Telford Midland",England,80513723,64070217,16443506,27.55
"Pohjanmaa Kokkola",Finnland,25900592,9465653,16434939,27.18
"Phoenix Yerevan",Armenien,38671454,22239975,16431479,27.23
"Unione Teramo",Italien,23335594,6914794,16420800,26.82
"FV Brehl St. Gallen",Schweiz,29680981,13267481,16413500,27.14
"EV Córdoba",Spanien,39947233,23541178,16406055,25.68
"Union Bellinzago CF",Italien,20219893,3873148,16346745,26.77
"SML Nyköping",Schweden,32605351,16294785,16310566,27.27
"Dinamo Kobuleti",Georgien,23500550,7225031,16275519,27.68
"Aero Broughton",Wales,39685014,23538330,16146684,26.91
"UN Luxemburg",Luxemburg,53521665,37412457,16109208,27.45
"Karlstad City",Schweden,30927891,14841909,16085982,27.55
"CQ Wanderers",Wales,20719517,4639178,16080339,25.82
"CS Marbella",Spanien,22822063,6770424,16051639,26.23
"Amsterdam Soccer",Niederlande,21910692,5871981,16038711,27.09
"Zhkupje CF",Mazedonien,29050846,13015422,16035424,27.18
"Kurd Borlänge",Schweden,20635689,4629170,16006519,26.82
"Aris Katokopia",Zypern,22362342,6393634,15968708,25.92
"Blackpool Sea",England,505185323,489218709,15966614,24.22
"Dinamo Hrodna",Weißrussland,25886285,9941884,15944401,27.36
"AS Dunărea Giurgiu",Rumänien,74753206,58811588,15941618,28.75
"KF Sezimovo Ústí",Tschechien,33865131,17926269,15938862,28.09
"Rader Skopje",Mazedonien,43403399,27485618,15917781,25.91
"Leeds Athletic",England,42742545,26876841,15865704,28.04
"Umbria Folignese",Italien,25592970,9732986,15859984,25.65
"UCKA Moskva",Russland,95683998,79863240,15820758,28.05
"KV Lions",Gibraltar,21105982,5311622,15794360,27.41
"Huvnar Tórshavn",Färöer,60849765,45082785,15766980,26.64
"Motherwell Soccers",Schottland,172879271,157126694,15752577,28.32
"FK Cádiz",Spanien,33541579,17802208,15739371,26.91
"KS Kamëz",Albanien,27170767,11440576,15730191,27.77
"Puña Tafalla",Spanien,27511523,11787448,15724075,28.00
"KS Sarpsborg 07",Norwegen,29672873,13951773,15721100,26.52
"FF Gerasdorf",Österreich,21420243,5704636,15715607,26.09
"SK Prudy",Russland,47327236,31613245,15713991,28.13
"DSK Fortuna Wien",Österreich,27275063,11601748,15673315,27.09
"SSC Gillingham 1898",England,25512263,9855163,15657100,27.55
"KF Široki Brijeg 1948","Bosnien und Herzegowina",140802968,125272506,15530462,21.65
"Värnamo SK",Schweden,30870435,15348397,15522038,27.55
"Atlético Varzim",Portugal,19629620,4119669,15509951,25.59
"FSV Neugersdorf",Deutschland,23601454,8117073,15484381,26.59
"Borussia Northeim",Deutschland,22606206,7137270,15468936,26.95
"Sumqayıt CF",Aserbaidschan,39506428,24049012,15457416,28.77
"KS Kavajë",Albanien,24900881,9457148,15443733,26.86
"Østfold Fredrikstad",Norwegen,21624478,6240439,15384039,27.73
"Zenita Kranj",Slowenien,53140083,37775628,15364455,26.48
"Açores Delgada",Portugal,40711701,25375604,15336097,27.64
"OV Lokeren",Belgien,22545397,7223432,15321965,27.82
"FK Kılkarelispurt",Türkei,23811924,8509792,15302132,26.73
"RCD Numancia",Spanien,87270416,72003663,15266753,27.70
"Fótbolti Fjarðabyggð",Island,64426695,49176617,15250078,26.55
"Podla Białystok",Polen,61651838,46408496,15243342,27.39
"FSI Mariehman",Finnland,21586712,6349025,15237687,26.27
"ISF Ålesund",Norwegen,172515307,157292416,15222891,27.84
"Haifa SC",Israel,52080875,36865452,15215423,27.38
"Jekla Kidričevo",Slowenien,25305611,10091131,15214480,26.59
"Voša Novi Sad",Serbien,31647145,16452321,15194824,26.55
"Preußen Unterföhring",Deutschland,24592419,9452355,15140064,26.77
"Kriger Helsingør",Dänemark,21239169,6112535,15126634,25.45
"Oxford Bulls",England,24250315,9129574,15120741,26.41
"NK Niš",Serbien,31419117,16340922,15078195,26.18
"Balzan United",Malta,29686459,14615150,15071309,25.26
"SSU Catanzaro",Italien,23583145,8521066,15062079,26.95
"Spartak Žilina",Slowakei,34510852,19453112,15057740,28.55
"Unión Tudelano",Spanien,19312362,4306631,15005731,26.22
"Fortuna Norderstedt",Deutschland,41364865,26395441,14969424,27.27
"SS Stradella Voghera",Italien,42942996,27985621,14957375,27.18
"Kenmare United",Irland,24686748,9751198,14935550,27.05
"Haffa FC",Israel,58288859,43391170,14897689,27.41
"HOM Edinburgh",Schottland,60552120,45656930,14895190,25.96
"JK Tartu Lemm",Estland,67770635,52878660,14891975,27.45
"Iris Saloniki",Griechenland,35683605,20810667,14872938,27.00
"FK Fiorentino",San Marino,44647838,29776142,14871696,27.50
"Unión Torrelavega",Spanien,18881881,4018034,14863847,26.52
"SI Atlet Göteborg",Schweden,21544406,6686950,14857456,25.78
"BK Getxo",Spanien,27549786,12704817,14844969,27.55
"KKS Jyväskylä",Finnland,39916144,25098686,14817458,28.22
"SC Orel Kranj",Slowenien,94631104,79847608,14783496,27.22
"Scuderia Benedetto",Italien,45506647,30729965,14776682,27.00
"Sporting Wil",Schweiz,22020148,7279734,14740414,27.86
"Carpi Calcio",Italien,35530568,20797775,14732793,25.95
"Rayo Pobla de Mafumet",Spanien,33556765,18835376,14721389,25.09
"Sligo Randers",Irland,20308861,5590796,14718065,27.48
"Almere Town",Niederlande,45519661,30804388,14715273,26.05
"  Elazığspurt",Türkei,23508896,8812995,14695901,27.95
"Union Kutaisi",Georgien,39525859,24831757,14694102,29.00
"Hellas Almelo",Niederlande,22674195,7985407,14688788,28.05
"ZH Winterthur",Schweiz,37224787,22565735,14659052,26.82
"Lületaş Eskişehir",Türkei,42434358,27805353,14629005,26.96
"AFK Svätý Jur",Slowakei,40499187,25911629,14587558,28.05
"SC Livorno",Italien,58714517,44142181,14572336,29.68
"VfR Neuenkirchen",Deutschland,24537799,9967033,14570766,28.00
"Täby IF",Schweden,35641554,21080174,14561380,26.95
"Herakles Verona",Italien,24231896,9680408,14551488,26.74
"SSV Modena",Italien,21213728,6673866,14539862,27.64
"IFF Örebro",Schweden,29126496,14606617,14519879,26.68
"FC Oriént",Portugal,25332211,10822761,14509450,25.86
"Þùllíá Akureyri",Island,28780462,14280826,14499636,26.00
"Friidrott Sundsvall",Schweden,20267736,5804806,14462930,25.95
"FSL Homburg",Deutschland,59598704,45139090,14459614,27.85
"Cannon Dungannon",Nordirland,24944265,10500653,14443612,26.77
"EXZ Rotterdam",Niederlande,54886620,40478479,14408141,27.50
"FV Budapest",Ungarn,67162273,52756670,14405603,26.43
"Siluro Grosseto",Italien,34023896,19668939,14354957,25.91
"Germania Cloppenburg",Deutschland,21090584,6750069,14340515,27.73
"Speertak Rotterdam",Niederlande,43953621,29645811,14307810,26.82
"Forrest Bradford",England,35738544,21451564,14286980,25.83
"LOK Sarajevo","Bosnien und Herzegowina",26525214,12280451,14244763,25.91
"Glückauf Köln 1950",Deutschland,28471679,14241847,14229832,27.72
"Radnik Čačak",Serbien,39068327,24873886,14194441,26.83
"FC Ivantsminda",Georgien,72459212,58271917,14187295,27.17
"Szeged FC",Ungarn,36948549,22856001,14092548,26.13
"FK Chaves 48",Portugal,27820227,13761116,14059111,26.77
"HB Paola",Malta,85757714,71700224,14057490,27.83
"Sportivo Braga",Portugal,19285443,5267163,14018280,27.55
"Bangor Town",Wales,21224413,7254829,13969584,27.36
"Unione Padova",Italien,32579143,18621246,13957897,28.00
"Thraki Komotini",Griechenland,98023733,84076820,13946913,29.77
"Brócoli Lorca",Spanien,62560083,48633415,13926668,27.32
"KV Wohlen",Schweiz,55201942,41325380,13876562,26.95
"La Louvière City",Belgien,41838058,27965415,13872643,27.59
"Horner SC",Österreich,29566143,15704325,13861818,25.59
"VL Trakai",Litauen,20409757,6576610,13833147,27.50
"AS Cornella",Spanien,28683276,14856882,13826394,26.17
"Luton United",England,21044731,7238250,13806481,28.64
"Brescia CF",Italien,22098842,8297707,13801135,26.77
"Dynamit Zagreb",Kroatien,312174488,298410723,13763765,22.05
"AK Gomel",Weißrussland,22378639,8616796,13761843,26.17
"Zakarpatti Uzhgorod",Ukraine,45564925,31809776,13755149,27.32
"Typá Tyumen",Russland,19591655,5841896,13749759,27.23
"St. Portadown 25",Nordirland,22634537,8900524,13734013,26.55
"CF Eibar",Spanien,62651083,48921529,13729554,27.91
"SC Mechelen 1905",Belgien,46504513,32786133,13718380,26.17
"Kotorosl Yaroslavl",Russland,26670333,12967370,13702963,27.36
"FKI Runavík",Färöer,34777212,21104661,13672551,26.54
"Eendracht Petegem",Belgien,22885548,9252492,13633056,27.18
"SGE Rheine",Deutschland,33272778,19647445,13625333,27.27
"Juve Makov",Slowakei,28744108,15119628,13624480,27.55
"Saimaa Joutseno",Finnland,23409166,9810690,13598476,27.36
"Osser FK",Niederlande,24463768,10872631,13591137,27.95
"SS St. Martina Franca",Italien,38613421,25023402,13590019,27.32
"Røga Egersund",Norwegen,22570792,8986116,13584676,26.23
"SC Esch",Luxemburg,56571425,43002859,13568566,28.64
"Ritzinger SK",Österreich,26968981,13428207,13540774,27.32
"Mitchelstown CF",Irland,22198908,8692703,13506205,26.36
"SK Skive 1902",Dänemark,27116758,13615009,13501749,27.36
"Lahut Idzevan",Armenien,46195772,32722102,13473670,28.64
"SK FC Leva",Estland,44881031,31438645,13442386,26.59
"Eintracht Rudolstadt",Deutschland,22114274,8679909,13434365,28.32
"Roban Krasnodar",Russland,47751741,34325074,13426667,26.59
"JK Tallinn",Estland,81424098,68027816,13396282,27.04
"Algarve Olhão",Portugal,24152612,10776201,13376411,26.77
"Sunny Lowestoft",England,27191635,13816712,13374923,27.43
"AS Cailungo",San Marino,17446971,4078473,13368498,25.77
"FV Maribor 61",Slowenien,56983506,43620984,13362522,27.52
"Matosinhos Leixões",Portugal,23208684,9884713,13323971,27.82
"KV Târgu Mureș",Rumänien,22524968,9210757,13314211,26.09
"TSG Landsberg",Deutschland,19610914,6334201,13276713,26.86
"FC Tbilisi",Georgien,20643002,7367815,13275187,27.41
"Lipany FK",Slowakei,49869978,36611220,13258758,27.70
"Stenhousemuir SSC",Schottland,21834901,8597425,13237476,26.14
"SC Waterford",Irland,19427963,6228013,13199950,26.64
"AF Bray",Irland,30658570,17470053,13188517,28.50
"SK Strømmen",Norwegen,19044808,5862698,13182110,27.50
"FK Mezőkövesd 76",Ungarn,48230348,35066015,13164333,26.68
"Škundelja Tetovo",Mazedonien,23374590,10223416,13151174,26.41
"Sportsko Zenica","Bosnien und Herzegowina",17717438,4568451,13148987,27.86
"Indre Châteauroux",Frankreich,22748494,9620541,13127953,27.32
İhögölaspocht,Türkei,17551958,4444456,13107502,26.95
"Başektaş Istanbul",Türkei,391500352,378397374,13102978,22.16
"Canarinhos Bragança",Portugal,65501667,52414970,13086697,26.70
"FK Mezdra",Bulgarien,34073747,20992178,13081569,24.73
"Kriti Platanias",Griechenland,39950421,26871324,13079097,28.05
"Fotball Moss",Norwegen,33550225,20480213,13070012,26.48
"Rodóva Marijampolė",Litauen,25473926,12425607,13048319,27.41
Şunıarfanorspor,Türkei,29600671,16573558,13027113,26.09
"FK Schwechat 1899",Österreich,20607766,7587915,13019851,27.09
"Feniks Lovech",Bulgarien,58385060,45385983,12999077,26.91
"Vlaanderen Hamme",Belgien,23242122,10250587,12991535,27.64
"TSK Ivanovo",Russland,66423316,53434615,12988701,27.87
"IF Brand Bergen",Norwegen,23584901,10615750,12969151,26.36
"ST Bozen 1996",Italien,24486515,11521875,12964640,26.26
"Naxxar Soccer",Malta,20820590,7862512,12958078,26.18
"Sport Örebro",Schweden,42958894,30014889,12944005,27.64
"East Ham London",England,51931997,38990492,12941505,28.50
"Real Koksijde",Belgien,18312997,5413079,12899918,26.41
"AFK Floridsdorf",Österreich,29472648,16574409,12898239,27.18
"Portsmouth City",England,19540760,6645404,12895356,28.09
"SSC Lecce",Italien,22438689,9567158,12871531,27.27
"CD Elche",Spanien,17430910,4559492,12871418,25.43
"ASS Nieciecza",Polen,21862574,8997494,12865080,27.35
"Omla Čakovec",Kroatien,34550258,21689966,12860292,27.41
"Sportivo Reggio",Italien,27891873,15052522,12839351,27.17
"Veneto Bassani",Italien,28101534,15269580,12831954,26.64
"Županija Vinkovci",Kroatien,23988063,11166468,12821595,27.26
"Onoare Buzău",Rumänien,25181326,12359767,12821559,26.55
"Sportowy Lubin",Polen,26746290,13941654,12804636,27.36
"Sportivo Aves",Portugal,19621488,6818470,12803018,27.05
"Dinamo Bolnisi",Georgien,29553079,16764354,12788725,28.23
"Napoli Calcio",Italien,33880453,21093624,12786829,26.32
"Zaan Alkmaar",Niederlande,25082701,12350321,12732380,27.95
"Union Crewe",England,22140010,9408768,12731242,26.70
"Alamat Yerevan",Armenien,28540795,15811310,12729485,26.50
"SK Mjøndolen",Norwegen,20509735,7791605,12718130,26.55
"HS Lyngby",Dänemark,38226873,25511706,12715167,27.39
"SK Varberg",Schweden,18241036,5526381,12714655,26.27
"TSV St. Florian",Österreich,17290675,4578953,12711722,27.05
"BBC Bissingen",Deutschland,139810436,127107427,12703009,23.78
"Gnaser FC",Österreich,46862358,34167647,12694711,26.55
"Hrvatskoj Pleternica",Kroatien,27253504,14574983,12678521,25.95
"FKS Puławy",Polen,31722697,19052154,12670543,27.77
"KF Libertatis",San Marino,42499736,29838123,12661613,27.95
"Viktoria Jihlava",Tschechien,20219228,7560037,12659191,26.86
"Lava Southport",England,27005067,14358608,12646459,28.32
"Rossoblù L`Aquila",Italien,28837266,16196447,12640819,28.09
"Amor Famagusta",Zypern,39134244,26507926,12626318,27.50
"Neuwiener FK",Österreich,18427874,5823546,12604328,27.05
"FK Chambly",Frankreich,21718381,9160749,12557632,26.52
"SK Glimt Bodø",Norwegen,23015023,10471154,12543869,27.86
"IF Finnsnes 23",Norwegen,20582530,8088693,12493837,26.27
"Vlak Gorna Orjachowiza",Bulgarien,31436087,18969792,12466295,27.83
"ZD Dordrecht",Niederlande,17331584,4914555,12417029,26.87
"GSI Örgryte",Schweden,16642392,4245128,12397264,27.82
"FC Miro Be’ér Shéva",Israel,19325840,6943949,12381891,27.18
"Academic Dublin",Irland,26099846,13731234,12368612,26.50
"Legnica FK",Polen,16831695,4484936,12346759,27.59
"FC Jeddeloh 1953",Deutschland,23394016,11049997,12344019,28.55
"Lazwáj Katowice",Polen,20340031,8001886,12338145,26.64
"SAA Taggia 1938",Italien,18026614,5697909,12328705,26.50
"Società Messina",Italien,34311059,21987223,12323836,27.14
"Turopolje Gorica",Kroatien,19855211,7537653,12317558,27.05
"Bromley UK",England,20092652,7777094,12315558,28.73
"Zinter Golubovci",Montenegro,24044407,11732742,12311665,27.30
"EF Deinze",Belgien,77562248,65260536,12301712,28.50
"Union Scunthorpe",England,15883405,3585957,12297448,26.09
"BW Linz 1998",Österreich,77823292,65555472,12267820,28.91
"SK Wrocław ",Polen,33065556,20811851,12253705,28.45
"Horda Sotra",Norwegen,16489014,4241328,12247686,26.23
"Nabyla Qostanai",Kasachstan,29843799,17619219,12224580,26.54
"1. FK Bockenheim",Deutschland,20987452,8778739,12208713,26.82
"TuS Nordhausen",Deutschland,25200626,12995918,12204708,25.45
"Viktoria Schaffhausen",Schweiz,26935809,14743873,12191936,27.23
"Lombardia Como",Italien,16013530,3831843,12181687,27.00
"Kumpaty Lviv",Ukraine,16694660,4526965,12167695,26.86
"Spartak Nizhnekamsk",Russland,43939423,31776955,12162468,26.30
"FK Differdange",Luxemburg,23022025,10867203,12154822,27.14
"Joseph`s United",Gibraltar,21820395,9666231,12154164,27.45
"RB Fischeln",Deutschland,39644895,27520403,12124492,26.50
"SC Wecker Innsbruck",Österreich,30182864,18077368,12105496,27.13
"IKK Falkenberg",Schweden,30104106,18008970,12095136,26.09
"ASK Eindhoven",Niederlande,134256212,122181555,12074657,25.63
"Padova Este",Italien,19158769,7087140,12071629,26.77
"KF Bijeljina","Bosnien und Herzegowina",17506968,5442473,12064495,26.59
"Tirreno Viareggio",Italien,19267022,7202911,12064111,25.17
"Gimnastico Baleares",Spanien,23481509,11430358,12051151,27.05
"Vejle FF",Dänemark,19505092,7486068,12019024,27.86
"Gernika FC",Spanien,36279234,24263196,12016038,29.00
"Austria Imst",Österreich,24021535,12013982,12007553,26.82
"SL Hradiště",Tschechien,23324838,11320713,12004125,26.95
"SpVgg Hauenstein",Deutschland,25021256,13022874,11998382,28.14
