Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Partizan 1945 FK",Serbien,120,112,238107328
"IP Ljungskile",Schweden,140,132,238065191
"St. Portadown 25",Nordirland,130,121,237863283
"AC Isola Ischia",Italien,101,95,237662401
"ED Dender Hekelgem",Belgien,85,78,237443810
"Uerdinger FSK",Deutschland,172,119,237318257
"Lyrtish Pavlodar",Kasachstan,101,94,237126431
"VF Groningen",Niederlande,141,129,236960043
"Sportivo Burgos",Spanien,144,137,236900140
"Margates Owls",England,128,121,236823406
"Jeanette Esch",Luxemburg,112,83,236659609
"VfB Pyrbaum",Deutschland,132,114,236375454
"Acresse FC",Israel,200,136,236196417
"ASC Dakari",Lettland,126,118,236113662
"AFC Aberystwyth",Wales,187,109,236067903
"FKS Puławy",Polen,153,146,235856800
"FK Banana Yerevan",Armenien,156,107,235839739
"Pobizhno Poltawa",Ukraine,124,116,235462433
"Union Kehl 1906",Deutschland,103,92,235344467
"Academica Cluj",Rumänien,119,111,235287771
"FC Ballinamallard",Nordirland,135,128,235142821
"Graaf Doetinchem",Niederlande,117,109,235057821
"Esportiva Covilhã",Portugal,119,112,235002121
"Esportiu Reus",Spanien,127,119,234920162
"SSC Pirmasens",Deutschland,122,87,234704218
"Beanos Stirling",Schottland,154,147,234676275
"Puglia Andria",Italien,145,137,234346896
"FC Aarhus 1879",Dänemark,323,154,234092317
"Ethnokos Evosmos",Griechenland,121,114,234026272
"UD Lizarra",Spanien,190,127,233849992
"VFC Zlaté Moravce",Slowakei,153,145,233848201
"FK Mezőkövesd 76",Ungarn,120,113,233758413
"Union Celje",Slowenien,154,147,233582717
"Inter Wexford",Irland,137,129,233131016
"FK Golfo di Stabia",Italien,106,99,232975426
"SK Vertikal Turnovo",Mazedonien,131,124,232723080
"Haffa FC",Israel,141,133,232595856
"KVC Tubize 55",Belgien,160,120,232382874
"Tosca Lucchese",Italien,117,109,232175493
"BK Mjällby",Schweden,120,109,232095700
"FK Olomouc",Tschechien,143,125,231724111
"Dilara Gor FC",Georgien,134,127,231576219
"Veneto Bassani",Italien,181,101,231462894
"Union Lommel",Belgien,155,135,231276132
"Basingstoke Superior",England,128,119,231094924
"Union Toulouse",Frankreich,128,118,230973882
"FC Zagreb",Kroatien,154,146,230867703
"Blau-Schwarz Mannheim",Deutschland,212,123,230697593
"Desportivo Funchal",Portugal,104,65,230046566
"KON Maassluis",Niederlande,153,145,229764748
"Pallasaarja Oulu",Finnland,210,149,229675573
"Alliance Bradford",England,150,134,229539157
"Unione Terni",Italien,106,88,229527668
"FV Brehl St. Gallen",Schweiz,129,122,229381602
"Eltersdorfer SV",Deutschland,121,96,229180313
"Borussia Wuppertal",Deutschland,132,97,229027304
Kocaelispor,Türkei,130,116,228686832
"FCB Aubstadt",Deutschland,129,100,228606204
"Warta Częstochowa",Polen,134,128,228475481
"SC Stadl-Paura",Österreich,146,137,228326982
"Atletico Taranto",Italien,139,131,228207704
"Union Garching",Deutschland,180,132,228172183
"VGI Uddevalla",Schweden,119,111,228157348
"NSK Olimpiko","Bosnien und Herzegowina",142,135,227957172
"Gaza Mediaș",Rumänien,114,106,227941873
"RSD Santander",Spanien,106,96,227761237
"Walsall City",England,129,101,227053315
"FS Brøndby",Dänemark,186,111,226731143
"Lašva Travnik","Bosnien und Herzegowina",115,108,226332504
"SOF Angers",Frankreich,139,125,226261173
"SSV Lille",Frankreich,183,132,226222470
"Hanka Espoo",Finnland,120,113,226001446
"Zinter Golubovci",Montenegro,144,137,225991980
"FC Katwijk",Niederlande,124,116,225949475
"KS Busu Velipojë",Albanien,144,135,225841122
"Central Vigo",Spanien,188,104,225652551
"Torpeda Luzk",Ukraine,198,139,225494816
"Aris Katokopia",Zypern,119,111,225480850
"SSC Cesena",Italien,100,93,225249486
"Sachen Markranstädt",Deutschland,170,145,225224337
"RPFV Worms",Deutschland,124,79,225214395
"Loktàk Králové",Tschechien,162,153,225189655
"FC Geras Basel",Schweiz,131,123,225127647
"Viktoria Jihlava",Tschechien,157,149,225057472
"Canarias Santa Cruz",Spanien,147,119,224914950
"Žuti Visoko","Bosnien und Herzegowina",139,132,224640282
"SH Hammarby",Schweden,106,98,224472914
"ASC Kilmarnock",Schottland,175,110,224470454
"KF Sezimovo Ústí",Tschechien,119,111,224311153
"Sibir Irkutsk",Russland,121,113,224276492
"KF Libertatis",San Marino,125,113,224241496
"PJ Tukru 1923",Finnland,120,112,224073499
"NL Barendrecht",Niederlande,111,103,224051673
"Alamat Yerevan",Armenien,126,118,223999815
"KV Târgu Mureș",Rumänien,149,134,223864008
"Beštije Kotor",Montenegro,155,151,223644300
"Ružomberok FC",Slowakei,164,139,223592990
"Chevrokry Głogów",Polen,105,98,223275970
"SC Fiorentina",Italien,191,125,223047107
"FK Hoppa Steyr",Österreich,142,134,222576687
"Pullacher SC",Deutschland,146,114,222540815
"Academy Bristol",England,126,118,222540272
"FF Methil 05",Schottland,120,112,222334809
"SBK Pfullendorf",Deutschland,94,81,221995738
"Olympia Lyon",Frankreich,121,102,221911030
"Onoare Buzău",Rumänien,123,115,221727668
"FK Poznań 1923",Polen,99,91,221615571
"Real Mouscron",Belgien,143,135,221303452
"FK Neretva Mostar","Bosnien und Herzegowina",113,105,221166054
"WAL Walhain",Belgien,99,91,220975638
"SAK Solna",Schweden,148,80,220918152
"AEK Elefsina",Griechenland,123,113,220877092
"Athlitikó Smyrna",Griechenland,118,110,220834419
"FC Narva Buse",Estland,171,135,220725482
"SSC Halle",Deutschland,269,158,220692932
"FK Koprivnica",Kroatien,139,131,220386120
"Norté Fafa",Portugal,121,113,220117293
"OLFK Bischofswerda",Deutschland,77,66,219946218
"Stal Kharkiv",Ukraine,123,115,219798755
"CD Urduliz",Spanien,106,98,219568812
"Guijuelo CF",Spanien,136,129,219319523
"Avanti Siena",Italien,86,78,218926825
"Pomorskie Bytów",Polen,128,120,218738500
"SK Austrien Wien",Österreich,176,110,218520901
"NN Tromsø",Norwegen,136,128,218448514
"Inter Brno",Tschechien,212,147,218421864
"FK Poissy",Frankreich,161,150,217938001
"Rotherham County",England,160,130,217373800
"Vhoru Oleksandrija ",Ukraine,136,128,217353897
"SV Pasching",Österreich,125,113,217035878
"FK Metallica Jajce","Bosnien und Herzegowina",145,138,217006246
"Sportivo Braga",Portugal,152,97,216979463
"Sportivo Mondorf",Luxemburg,130,122,216871461
"SE Zalaegerszeg",Ungarn,138,131,216864991
"Belediye Aydin",Türkei,132,124,216550699
"Diano FC",Lettland,131,123,215765928
"Oxford Urbans",England,80,62,215704575
"Podla Białystok",Polen,148,142,215396570
"IKK Falkenberg",Schweden,123,115,215237406
"NK Sarajevo","Bosnien und Herzegowina",145,137,215109643
"Sternas Tripolis",Griechenland,161,98,214917026
"ACF Ayr",Schottland,159,152,214567956
"Napk Mykolaiv",Ukraine,154,149,214564369
"Atlético Varzim",Portugal,121,113,214540676
"Corby Athletic",England,100,92,214290534
"Agrar FB",Färöer,120,113,214285345
"FV Kaunas",Litauen,139,131,214124425
"KSK Radomlje",Slowenien,105,97,214110176
"Unione Spezia",Italien,101,80,213847720
"Grödiger SC",Österreich,131,116,213781578
"Galicia Lugo",Spanien,144,129,213137300
"KOZ Werkendam",Niederlande,85,77,213005576
"SAK Helsinki",Finnland,176,126,212840569
"RNK Walldorf",Deutschland,140,121,212834404
"FSV Alm Bielefeld",Deutschland,206,112,212823145
"BD Hønefoss",Norwegen,117,110,212564534
"Stadt Reims",Frankreich,126,115,212560606
"Nożna Bydgoszcz",Polen,145,137,212433802
"Reading Kings",England,191,121,212168553
"ACF Hamilton",Schottland,141,133,212123969
"SVC Ekenäs",Finnland,120,114,212092036
"St. Llansantffraid FC",Wales,201,147,212004484
"Esportiva Ponferrada",Spanien,98,91,211777719
"Østfold Fredrikstad",Norwegen,126,119,211665385
"Goloboseray FK",Türkei,193,88,211607354
"Tineret Mioveni",Rumänien,154,146,211576803
"VT Arnhem",Niederlande,166,129,211447900
"Roskilde Island",Dänemark,130,108,211303064
"Ussi Yerevan",Armenien,107,99,210958792
"Brescia CF",Italien,137,130,210804870
"Olimpico Estarreja",Portugal,131,124,210658837
"VfR Seligenstadt",Deutschland,113,80,210647978
"Hellas Sundbyberg",Schweden,114,106,210319981
"KOF Oslo",Norwegen,121,113,210248257
"SSC Wörgl",Österreich,146,139,210120767
"Whitestreaks Notts",England,127,116,210085738
"Dynamit Tiraspol",Moldawien,264,133,209942896
"Unione Pescara",Italien,143,121,209798796
"AS Bourg-Péronnas",Frankreich,91,83,209696979
"ASS Södertälje",Schweden,137,129,209671120
"Spartak Izhevsk",Russland,127,121,209623692
"Borussia Wegberg",Deutschland,142,106,209543339
"Nailsworth FC",England,84,74,209498730
"TuS Meerbusch 65",Deutschland,134,106,209472400
"FK Pirin Simitli",Bulgarien,155,147,209466778
"AS Wasquehal",Frankreich,92,81,209370005
"SK Skive 1902",Dänemark,125,117,209321156
"FC Kurait Almaty",Kasachstan,157,150,209050697
"SK Raab Lafnitz",Österreich,102,94,208699783
"JKA Ylivieska",Finnland,123,115,208663913
"Oranje Emmen",Niederlande,153,125,208569783
"Dinamo Plovdiv",Bulgarien,127,117,208569350
"VK Norðragøta",Färöer,112,104,208444988
"EXZ Rotterdam",Niederlande,232,146,208319649
"Haifa SC",Israel,131,117,208158672
"Exeter County",England,136,123,208094019
"Bangor Town",Wales,143,136,207984074
"Lazwáj Katowice",Polen,122,114,207923857
"SK Mjøndolen",Norwegen,104,96,207760720
"Taurul Chișinău",Moldawien,103,95,207376747
"Sportivo Sabadell",Spanien,159,152,207231983
"SSU Catanzaro",Italien,103,95,207167805
"Inter Hamoir",Belgien,98,90,206891234
"FC Kristianstad",Schweden,139,131,206746404
"Deportiva Fuenlabrada",Spanien,139,132,206625624
"IF Ranheim",Norwegen,134,127,206518162
"AC Empoli",Italien,109,55,206379263
"Weisheł Płock",Polen,123,115,205588045
"JK Pärnu",Estland,138,131,205487428
"Gazovski Lipetsk",Russland,131,124,205467101
"FK Tarxien",Malta,125,117,205314114
"Ipswich Boys",England,134,71,205280503
"Spartak Nizhnekamsk",Russland,120,112,205108644
"ARAL Baku",Aserbaidschan,156,150,205000571
"NFK Remchingen",Deutschland,157,129,204956323
"Borussia Bautzen",Deutschland,171,102,204269072
"Urheilu Ekenäs",Finnland,138,130,204189386
"Väsby Soccer",Schweden,138,130,204184168
"AS Ribelle Ravenna",Italien,123,115,204127036
"Società Messina",Italien,160,153,203995092
"Deportiva Llagostera",Spanien,92,80,203991406
"CL Cosenza",Italien,137,129,203971691
"Mało Kraków",Polen,120,76,203783641
"Sportski Imotski",Kroatien,121,113,203471433
"BSV Friesdorf",Deutschland,125,105,203454662
"Aluminium Aachen",Deutschland,193,84,203263264
"CV Crotone",Italien,124,99,203097810
"UK Wilrijk",Belgien,132,124,202979418
"FC Jeddeloh 1953",Deutschland,133,70,202851344
"Athlético Penafiel",Portugal,123,116,202779176
"FV Molde",Norwegen,181,108,202759202
"AS Iași",Rumänien,128,103,202749331
"PF Orienta Varna",Bulgarien,141,121,202592262
"Union Verl",Deutschland,181,107,202442561
"FC Shijak",Albanien,151,123,202403762
"Inverness City",Schottland,162,150,202377859
"Garonne Bordeaux",Frankreich,131,105,202369969
"Pinerolo Calcio",Italien,101,93,202215161
"SSC Rumelange",Luxemburg,104,96,202172800
Adalanyasport,Türkei,129,120,202163873
"TSV Zell am See",Österreich,188,115,202158095
"Nissan Halmstad",Schweden,156,149,202045961
"US Lyon 1965",Frankreich,162,122,201966307
"ASS Frascati Rom",Italien,163,141,201931849
"FC Mytilene 1995",Griechenland,134,126,201771413
"AOL Satu Mare",Rumänien,139,132,201727246
"SC Orel Kranj",Slowenien,154,146,201690113
"SS Pâncota",Rumänien,120,112,201635571
"Royal Murcia",Spanien,164,147,201609774
"Racing SC Liège",Belgien,156,129,201481033
"Oudenaarde SC",Belgien,140,132,201329546
"Káma Naberezhnye",Russland,127,119,201290442
"Coleraine United",Nordirland,134,127,201147966
"LF Thisted",Dänemark,134,123,200861935
"Eintracht Fürstenwalde",Deutschland,107,94,200738089
"Kenmare United",Irland,101,93,200701106
"Olimpia Novgorod",Russland,140,132,200567628
"Port Talbot County",Wales,141,134,200372331
"Sverige Trelleborg",Schweden,126,119,200360290
"CV Pontevedra",Spanien,149,117,200227253
"Thessaly Trikala",Griechenland,122,116,200184077
"Sociedad Almería",Spanien,161,125,200142296
"Fegyvertár Gyirmót",Ungarn,119,111,199806276
"FAK Kemi",Finnland,103,95,199691551
"GK Kauniainen",Finnland,102,94,199624520
"Leeuw Brakel",Belgien,106,98,199499087
"Horner SC",Österreich,112,102,199458225
"Karlstad City",Schweden,140,132,199399781
"FK Schwaz",Österreich,144,136,199312643
"Cnopty Taraz",Kasachstan,103,96,199249481
"Uniona Matera",Italien,120,112,199154909
"Sunderland City",England,133,102,199132386
"Chesterfield Athletic",England,90,82,198951862
"Borussia Fürth",Deutschland,171,94,198874185
"St. Patrick CF",Schottland,167,105,198816670
"Sportowy Khimki",Russland,101,93,198707426
"Ellada Partras",Griechenland,153,93,198416754
"Entella Chiavari",Italien,126,112,198197370
"Sori Lugansk",Ukraine,105,92,197648470
"Sumqayıt CF",Aserbaidschan,107,99,197039321
"Cheznó Tarnobrzeg",Polen,144,136,196816369
"Concord Bishops",England,109,102,196635479
"Solyaransk Moskva",Russland,125,117,196552816
"Wycombe Sportsmen",England,70,61,196527096
"SC Esch",Luxemburg,184,132,196320153
"Sankt Brest FK",Weißrussland,135,124,196254936
"CF Croix",Frankreich,131,117,196237152
"Moravica Lučani",Serbien,133,127,196210463
"Concorde Colmar",Frankreich,113,105,196174052
"FV Doncla Praha",Tschechien,154,146,196157972
"Unión Elda",Spanien,110,100,196085555
"AC Agropoli 1925",Italien,130,101,196052346
"Rot-Weiß Regensburg",Deutschland,206,79,195782929
"Rayo Pobla de Mafumet",Spanien,104,97,195621868
"Glentory Belfast",Nordirland,95,82,195505123
"Eendracht Tiel",Niederlande,163,154,195404998
"Adria Dugopolje",Kroatien,94,86,195334422
"Jekla Kidričevo",Slowenien,145,137,195264065
"SC Ballymena",Nordirland,142,135,195249042
"UD Espania Barcelona",Spanien,135,98,194985532
"Atletický Báhoň",Slowakei,107,100,194869303
"Norwich Soccer",England,142,113,194814420
"Toten Raufoss",Norwegen,138,132,194742887
"NB Helmond",Niederlande,164,138,194679105
"Babelsberger Kickers",Deutschland,133,81,194643818
"AK Stara Zagora",Bulgarien,115,107,194596738
"Dundee FK",Schottland,140,122,194552820
"SL Martin 1995",Slowakei,104,96,194486731
"SV Intra Leipzig",Deutschland,129,75,194389915
"FS Serravalle",San Marino,103,95,194266336
"Krško CFC",Slowenien,99,91,194082967
"Drogheda City",Irland,96,88,193986116
"Napoli Calcio",Italien,153,130,193880082
"Scezny Pruszków",Polen,141,133,193872361
"SK Zvezda Belgrad",Serbien,133,125,193794833
"Gjumri FC",Armenien,220,152,193668168
"Aero Broughton",Wales,121,113,193588103
"SSV Modena",Italien,126,113,193586202
"ZS Luzern",Schweiz,142,127,193532735
"KF Haldenkvìk",Norwegen,120,115,193345322
"Beuter Jeru FC",Israel,143,135,193212544
"SC Moreira de Cónegos",Portugal,120,113,193180016
"Lok Trnje",Kroatien,101,93,193155876
"OA Nikosia",Zypern,124,121,193064984
"RSE Winkel",Belgien,137,131,192807870
"SSV Pavia",Italien,137,131,192740656
"Østerø Eiði",Färöer,115,108,192373579
"SML Nyköping",Schweden,145,133,192241358
"KF Novorosskiysk",Russland,137,130,192206024
Dzenlispur,Türkei,137,129,192004262
"KS Kostrote Krujë",Albanien,175,115,191981406
"KV Wohlen",Schweiz,151,123,191876370
"SL Hradiště",Tschechien,160,146,191803366
"Spotivo Zigi",Lettland,104,94,191750873
"SSC Cremona",Italien,110,102,191748219
"FK Viborg",Dänemark,76,68,191739987
"Ballybofey FC",Irland,141,134,191686685
"RCD Sinarcas",Spanien,109,103,191640319
"Horda Sotra",Norwegen,136,128,191510000
"ASK Karviná",Tschechien,144,136,191346250
"SC Nei Tel-Aviv",Israel,121,109,191296466
"FN Rotterdam",Niederlande,151,101,191193685
"Zmajevi Voždovac",Serbien,99,91,190951810
"Asınördü İzmir",Türkei,145,137,190935906
"Torpdeo Slutsk",Weißrussland,108,98,190867578
"Arbroath Soccer",Schottland,120,112,190858979
"FK Fiorentino",San Marino,91,83,190851118
"Osser FK",Niederlande,152,138,190802684
"ASS Nieciecza",Polen,119,111,190630482
"SK Yuzhno",Russland,125,117,190583627
"SSC Montpellier",Frankreich,116,93,190499878
"Rouge Stern Paris",Frankreich,169,114,190443614
"FK Gävle",Schweden,133,125,189975697
"Unión Guadalajara",Spanien,93,68,189893380
"TUS Leoben",Österreich,137,129,189772815
"Atletico Pistoiese",Italien,120,112,189713286
"Lougana FC",Lettland,116,108,189575814
"Tweede Enschede",Niederlande,143,124,189466545
"BK Getxo",Spanien,116,108,189198241
"VBC Kortrijk",Belgien,118,110,189161112
"SSV Cartagena",Spanien,132,123,189054935
"AFK Kapan",Armenien,84,77,188987501
"FC Angelen",Gibraltar,117,108,188908515
"SC Michalovce",Slowakei,140,134,188903339
"Vendée Les Herbiers",Frankreich,199,96,188871107
"Maastrichter FC",Niederlande,130,123,188861518
"SG Gurten",Österreich,110,102,188785937
"Union Zulte Waregem",Belgien,126,116,188763250
"WF Gullegem",Belgien,140,132,188685095
"KF Eagles Blagoevgrad ",Bulgarien,116,85,188624698
"Marche Verona",Italien,94,86,188572251
"Sicilia Siracusa",Italien,96,89,188499860
"Falkirk United",Schottland,117,110,188078106
"Reyocretivo Huelva",Spanien,118,110,188040506
"Cannon Dungannon",Nordirland,147,140,187995186
"Unión Tudelano",Spanien,114,103,187948599
"FK Vidin 1922 ",Bulgarien,85,78,187885709
"FK Veľký Meder",Slowakei,141,134,187713916
"Olga Samara",Russland,119,111,187567793
"Uniune Orhei",Moldawien,81,74,187504475
"Stade Bern 95",Schweiz,109,94,187387098
"Międzynar Bełchatów",Polen,154,125,187369393
"Dinamo Bolnisi",Georgien,106,98,187258587
"Oldham City",England,118,107,187248525
"Rasensport Herkenrath",Deutschland,153,127,187155629
"KF Bijeljina","Bosnien und Herzegowina",125,111,186978259
"Intra Avellino",Italien,190,100,186837976
"VfB Zwettl",Österreich,117,109,186544854
"Wallis Sion 08",Schweiz,88,80,186490310
"Real Huesca",Spanien,87,78,186336494
"SL Pastarossa",San Marino,129,118,186159854
"Neuwiener FK",Österreich,214,142,186059100
"Slavonia Brdo",Kroatien,146,140,185909815
"NK Prijedor","Bosnien und Herzegowina",106,98,185900284
"Matosinhos Leixões",Portugal,138,119,185756052
"FK Rio do Conde",Portugal,134,119,185739740
"FC Piteå",Schweden,136,128,185415137
"SW Bocholt",Deutschland,156,136,185210880
"Unione Rimini",Italien,121,114,185015429
"Volgar Saratov",Russland,123,115,185014075
"Wunstorfer SV",Deutschland,141,98,184989589
"Mencza Brzesko",Polen,122,113,184876995
"RV Cumbernauld",Schottland,124,117,184817197
"Nowy Sącz KV",Polen,139,132,184668697
"Unire Botoșani",Rumänien,150,142,184639418
"UD Portugalete",Spanien,114,106,184590567
"Sportivo Navalcarnero",Spanien,126,118,184338286
"MVV Neustrelitz",Deutschland,121,77,184167137
"Lappi Rovaniemi",Finnland,134,107,183819410
"Racing San Sebastián",Spanien,119,93,183753120
"Barrow Bees",England,83,77,183691782
"FC Peairt 1885",Schottland,149,95,183690526
"Peterborough Elitists",England,155,109,183656543
"TSG Landsberg",Deutschland,180,119,183575187
"Inter Floriana",Malta,129,115,183480373
"Cyprus Aradippou",Zypern,121,114,183334486
"SC Guédiawaye",Lettland,102,94,183287075
"CS Algeciras",Spanien,119,111,182946983
"Morecambe Seafighters",England,129,120,182898647
"FFK Dornbirn",Österreich,118,109,182826748
"Rader Skopje",Mazedonien,114,105,182725736
"Sportiva Caserta",Italien,117,109,182283075
"Yeovil Cherries",England,120,111,182222551
"Rapide Lens",Frankreich,125,115,182206767
"Havelser SC",Deutschland,129,65,181790960
"Pohjanmaa Seinäjocki",Finnland,155,148,181744438
"Olympique Lausanne",Schweiz,130,112,181608023
"Opava FV",Tschechien,125,117,181500108
"SK Strømmen",Norwegen,119,111,181439263
"Atlético Osuna",Spanien,115,107,181379264
"La Louvière City",Belgien,122,114,180979574
"KSA Siedlce",Polen,118,111,180891285
"SSC Lugano",Schweiz,119,111,180881717
"FK Kuopio",Finnland,124,116,180665108
"Vlak Gorna Orjachowiza",Bulgarien,120,112,180577659
"Uni Murcia",Spanien,151,144,180571381
"Juve Francavilla",Italien,122,115,180538585
"Gharabagh Ağdam",Aserbaidschan,116,109,180205942
"Voša Novi Sad",Serbien,128,120,180069619
"FV Venlo 02",Niederlande,119,111,179871721
"FK Cham",Schweiz,149,135,179740853
"Eintracht Luckenwalde",Deutschland,137,99,179563939
"SA Jura Sued",Frankreich,110,86,179472660
"1. FFC Simmering",Österreich,120,112,179403814
"Fortuna Dudelange",Luxemburg,98,90,179355516
"SCU Sassuolo",Italien,173,120,178908955
"VC Unión Llevante",Spanien,88,80,178703899
"NK Veduž Mostar","Bosnien und Herzegowina",139,132,178572791
"Preußen Lübeck",Deutschland,133,99,178542121
"POK Livadia",Griechenland,128,121,178182687
"SFC Rostov",Russland,137,94,178139761
"Saksahan Kryvyi",Ukraine,114,107,178079854
"Okzhlïmpïada Kokshetau",Kasachstan,137,129,177730630
"Feniks Lovech",Bulgarien,104,96,177560769
"SC Dachau",Deutschland,89,63,177537862
"Carlisle Athletic",England,136,112,177205173
"Madeíro Funchal",Portugal,95,84,177152789
"Ostia Roma",Italien,147,103,177125827
"Bulgaria Panagyurishte",Bulgarien,139,131,176943034
"KKS Jyväskylä",Finnland,105,97,176836403
"Zhunit St. Peterburg",Russland,167,90,176400393
"Zhim Tomsk",Russland,149,141,176335284
"IFF Sterbæk",Norwegen,144,136,176172177
"EV Córdoba",Spanien,150,128,176009273
"Oblast Astrakhan",Russland,113,105,175986797
"Annan SC",Schottland,102,94,175439905
"ASK Velenje",Slowenien,138,130,175244441
"FV Vaduz 1935",Schweiz,112,97,175150957
"Açores Delgada",Portugal,95,87,174928965
"SG Orenburg",Russland,96,88,174771916
"Uyum Adana",Türkei,129,121,174756300
"TSV Amberg 1985",Deutschland,128,99,174731592
"Sportska Gabela","Bosnien und Herzegowina",129,121,174729282
"AFC Tullamore",Irland,155,136,174610753
"KS Korobii Peshpope",Albanien,194,102,174602620
"Carmathen United",Wales,87,79,174455023
"Uni Søborg",Dänemark,96,61,174445555
"Aero Kharkiv",Ukraine,135,123,174113376
"Tórniko Zabrze",Polen,119,111,174057800
"FAK Voronezh",Russland,116,102,174052178
"Tortuk Nalchik",Russland,86,78,174027131
"IF Brand Bergen",Norwegen,157,149,173644282
"Opolskie Kluczbork",Polen,140,133,173427473
"ASS Gibraltar",Gibraltar,124,117,173304304
"FK Birkirkara 1952",Malta,123,116,173239410
"SG Arta 2013",Griechenland,134,127,173105391
"OL Våluronga",Norwegen,112,95,172802457
"Victoria Hartlepool",England,144,136,172555474
"Eutiner FC 1918",Deutschland,99,66,172486579
"Mladi Podgorica FK",Montenegro,152,100,172482033
"Sligo Randers",Irland,139,85,172444461
Ümrüsyespur,Türkei,126,118,172437667
"Blackburn Roses",England,118,72,172299040
"Ponte Mozzano Calcio",Italien,114,106,172160118
"FC Phynx",Gibraltar,154,146,172043896
"Nabyla Qostanai",Kasachstan,128,120,172032699
Kacabuksport,Türkei,153,147,171897328
"TSV Kitzbühel",Österreich,178,101,171793980
"Segregrcy Suwałki",Polen,124,116,171779283
"FC Newtown 76",Wales,100,92,171609912
"Union Kutaisi",Georgien,156,149,171590058
"SB Lorient",Frankreich,101,92,171535140
"Oabla Koper",Slowenien,101,94,171521188
"POSK Saloniki",Griechenland,126,116,171480712
"SK FC Leva",Estland,101,93,171476094
"Atlétika Csákvár",Ungarn,137,131,171119505
"Atleticó Sarno",Italien,109,101,170947435
"1. SC Pardubice",Tschechien,122,116,170923448
"Naxxar Soccer",Malta,87,80,170872172
"NOS Goražde","Bosnien und Herzegowina",106,98,170870908
"Herakles Verona",Italien,110,103,170704332
"SCC Târgovişte",Rumänien,133,125,169819343
"FC Kalte",Estland,139,132,169684605
"FSK Salo",Finnland,150,137,169659261
"FKA Wacker Mödling",Österreich,112,83,169514200
"Vitória Freamunde",Portugal,159,151,169508362
"SC Agrigento",Italien,88,80,169415004
"SSC Leeuwarden",Niederlande,102,91,169120251
"Anastasiou Karditsa",Griechenland,134,127,169058128
"US Jessheim",Norwegen,145,136,168856134
"Barnet Union",England,110,101,168826910
"Atlético Gondomar",Portugal,108,100,168722874
"SPV Cursneuen",Deutschland,104,96,168705168
"Zhkupje CF",Mazedonien,93,85,168697828
"Unión Toledo",Spanien,133,110,168665645
"KS Kamëz",Albanien,121,114,168525411
"IFF Örebro",Schweden,123,113,168427576
"Padova Este",Italien,122,114,168346917
"Sportivo Cuneo",Italien,121,113,168227520
"Intra Sozopol",Bulgarien,131,123,168083409
"FKS Bratislava",Slowakei,203,109,168029936
"Intra Brașov",Rumänien,139,132,167974288
"FK Samobor",Kroatien,116,108,167973019
"Unión Mafra",Portugal,136,127,167968056
"AJ Valenciennes",Frankreich,123,115,167834425
"SD Arezzo",Italien,107,97,167513962
"Hellas Agrinio",Griechenland,131,123,167487742
"Inter Senica",Slowakei,123,117,167460263
"Huvnar Tórshavn",Färöer,158,151,167308777
"Fryslân Heerenveen",Niederlande,111,94,167212807
"ASK Ehegnadzor",Armenien,99,91,166967923
"Jahn Wiedenbrück",Deutschland,134,108,166887420
"Vestfold Sandjeford",Norwegen,118,110,166776562
"Häcken GB",Schweden,128,116,166579482
"Royal Oviedo",Spanien,154,123,166565096
"Dynamit Zagreb",Kroatien,136,118,166481249
"KV Aktobe 1965",Kasachstan,136,128,166451158
"FSC Neumarkt a.W.",Österreich,114,108,166326783
"OS St.-Étienne",Frankreich,133,82,166104099
"SK Varberg",Schweden,121,113,166076283
"SK Vránika Ostrava",Tschechien,112,105,165956656
"SA Vaskalund",Schweden,81,74,165907552
"UN Luxemburg",Luxemburg,106,97,165836232
"OB Kiew",Ukraine,106,99,165785246
"Unione Padova",Italien,118,110,165678213
"Naproijed Sisak",Kroatien,119,112,165586816
"PAS Dunaújváros",Ungarn,135,127,165528941
"Hayes Swords",England,97,89,165508876
"RW Beckum",Deutschland,113,83,165499299
"OL Grorud",Norwegen,125,117,165393922
"FSL Homburg",Deutschland,157,83,165164391
"Ratinger SC 1905",Deutschland,104,93,165155558
"Spartak Afipsky",Russland,141,133,165011971
"FK Nizhny",Russland,114,106,164983923
"Turpedia Armavir",Russland,134,126,164684556
"Sunny Lowestoft",England,125,78,164560485
"Ethnikos Volos",Griechenland,106,98,164484991
"FSC Setúbal",Portugal,114,99,164421733
"KS Sarpsborg 07",Norwegen,123,115,164266563
"Bromma Stockholm",Schweden,96,88,164056507
"FK Dunfermline",Schottland,123,115,164055065
"ZH Winterthur",Schweiz,125,118,163866976
"Kurd Borlänge",Schweden,157,138,163774671
"SC Bad Treibach",Österreich,98,90,163556341
"Balzan United",Malta,116,108,163552495
"Sportowy Lubin",Polen,132,105,163411566
"Røga Egersund",Norwegen,97,90,163314450
"VfB Rain 1898",Deutschland,143,102,163294290
"CS Onda",Spanien,137,127,163025448
"BF Galabovo",Bulgarien,98,90,163008157
"SWK Bregenz",Österreich,122,116,163006036
"Lahut Idzevan",Armenien,119,111,162961473
"KV Kratovo",Mazedonien,109,101,162611659
"SBK Kaliningrad",Russland,117,112,162452283
"Vorvaard Haugesund",Norwegen,117,110,162425613
"Rata Macerata 1919",Italien,140,132,162383600
"Sportowy Tosno",Russland,141,133,162024140
"RCD Numancia",Spanien,150,120,161997809
