Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"SK Sokolov",Tschechien,152,146,242484457
"KF Bosna Kakanj","Bosnien und Herzegowina",151,128,241967532
"Karpaky Wola",Polen,115,109,241857340
"Tineret Mioveni",Rumänien,98,91,241548746
"TUS Leoben",Österreich,124,113,240953745
"FC Halle a.d.Saale",Deutschland,141,78,240902367
"HS Lyngby",Dänemark,120,111,240789852
"Cardiff Dragons",England,176,113,240316817
"SK Skive 1902",Dänemark,157,138,240201361
"Almere Town",Niederlande,95,86,240120130
"KV Kratovo",Mazedonien,101,93,239961153
"Gunçlorbirleği AK",Türkei,152,106,239853418
"Wunstorfer SV",Deutschland,183,112,239454698
"DC Drumcondra",Irland,128,113,238636027
"Anadolu Sivas",Türkei,130,106,238606665
"SU Leganés",Spanien,186,149,238416535
"Vamos Vallecanos",Spanien,145,106,238166710
"SC Nei Tel-Aviv",Israel,123,107,238073282
"ICE Zagreb",Kroatien,91,83,238000920
"FTA Porvoo",Finnland,144,138,236955579
"Barnsley UK",England,114,95,236389884
"US Jessheim",Norwegen,94,86,235928911
"FK Limassol",Zypern,104,96,235897700
"Radar Pljevlja",Montenegro,145,137,235786558
"KFK Kisvárda",Ungarn,144,135,235779671
"OL Grudziądz",Polen,135,128,235647678
"Anjel Trnava",Slowakei,169,135,234623002
"Hansa Sudelbe",Deutschland,115,85,234597455
"Sportowy Khimki",Russland,138,128,234594957
"Ružomberok FC",Slowakei,110,102,234427886
"Alamat Yerevan",Armenien,112,106,234188122
"Sportivo Bilbao",Spanien,200,123,234101569
"Rotherham County",England,325,150,233727225
"Acresse FC",Israel,68,60,233432078
"EXZ Rotterdam",Niederlande,104,96,233384896
"SK Mjøndolen",Norwegen,118,110,233099466
"Zelen Banovići KF","Bosnien und Herzegowina",112,104,232947582
"Hellas Sundbyberg",Schweden,141,135,232936972
"Vendée Les Herbiers",Frankreich,154,134,232911003
"Fiatalok Felcsút AC",Ungarn,138,131,232700402
"Fótbolti Fjarðabyggð",Island,137,91,232440660
"Bristol Sport",England,160,143,232163639
"Real Huesca",Spanien,104,91,232011510
"Depur San Fernando",Spanien,111,104,231929493
"CS Lanzarote",Spanien,148,80,231641405
"Inter Brno",Tschechien,69,61,231475317
"Siluro Grosseto",Italien,145,137,231068377
"SC Ballymena",Nordirland,140,132,231062773
"FC Foggia",Italien,158,138,230991414
"SFC Krasnoyarsk",Russland,158,147,230958912
"Typá Tyumen",Russland,164,151,230919080
"EF Deinze",Belgien,142,102,230792849
"FK Olomouc",Tschechien,114,107,230392376
"KS Besëlithia Lezhë",Albanien,97,89,230039324
"VfL Steinbach",Deutschland,192,121,229871241
"Uzhi Makhachkala",Russland,116,108,229713785
"IF Finnsnes 23",Norwegen,115,108,229524195
"FC Kurait Almaty",Kasachstan,120,106,229451320
"Segregrcy Suwałki",Polen,118,110,229406957
"VK Norðragøta",Färöer,128,120,229301139
"Sardigna Nuorese",Italien,201,177,229281368
"SC Dachau",Deutschland,192,107,229250838
"GKS Szczecin",Polen,182,118,229096004
"Sportfreunde VK Köln",Deutschland,137,86,228988854
"VC St.-Gilloise Vorst",Belgien,128,120,228927276
"NL Barendrecht",Niederlande,137,120,228900170
"Intra Pula 1948",Kroatien,187,123,228810645
"Toten Raufoss",Norwegen,97,89,228574086
"Munster Limerick",Irland,121,100,228514016
"Corby Athletic",England,209,87,228131629
"Parisien FK",Frankreich,103,86,228032540
"BH Oradea",Rumänien,112,105,227993270
"KS Busu Velipojë",Albanien,153,94,227957887
"Diano FC",Lettland,139,131,227761601
"Athletico Guimarães",Portugal,135,112,227702005
"AS Boulonnais",Frankreich,200,109,227670975
"SpVgg Kassel",Deutschland,146,78,227277710
"Blackburn Roses",England,136,109,227085350
"Eastbourne Union",England,83,75,226957277
"Olimpico Estarreja",Portugal,118,109,226008038
"London`s Park Rangers",England,164,142,225781023
"LMS Lausanne 1943",Schweiz,123,107,225609571
"Desportivo Funchal",Portugal,143,118,224808779
"Vercelli Calcio",Italien,180,141,224574473
"FK Mezdra",Bulgarien,101,94,224529256
"Royaal Anderlecht",Belgien,173,116,224445443
"Unio Fano 1907",Italien,116,109,224312949
"Torquay Kickers",England,123,116,224141802
"Vidi Székesfehérvár",Ungarn,103,92,224084126
"Juve Francavilla",Italien,124,116,224007580
"Thuner SC",Schweiz,169,117,223775293
"St. Portadown 25",Nordirland,137,130,223502723
"AEK Elefsina",Griechenland,118,110,223211899
"Unión Elda",Spanien,96,87,222936380
"Preußen Unterföhring",Deutschland,157,108,222829384
"Guijuelo CF",Spanien,119,109,222822201
"Sutton Athletic",England,135,127,222790005
"Balzan United",Malta,140,132,222118447
"WB Sterren",Belgien,116,109,222072278
"KV Wohlen",Schweiz,166,122,221862962
"Genua Calcio",Italien,150,103,221750427
"GAS Ajaccio",Frankreich,130,121,221604126
"KF Sezimovo Ústí",Tschechien,167,159,221453249
"Śląskie Bielsko-Biała",Polen,121,77,221351870
"Dilara Gor FC",Georgien,96,89,220724511
"KF Široki Brijeg 1948","Bosnien und Herzegowina",196,114,220672767
"Union Crewe",England,102,90,220638085
"Bær Sandvika",Norwegen,91,83,220620641
"SS St. Martina Franca",Italien,81,73,219875880
"Stadt Brest 39",Frankreich,100,92,219395889
"Unión Toledo",Spanien,145,129,219210060
"Nissan Halmstad",Schweden,123,115,219209809
"Unione Pescara",Italien,123,115,219139270
"USJ Kotka",Finnland,99,92,219109890
"FK Lillestrøm",Norwegen,122,92,218609099
"Eintracht Luckenwalde",Deutschland,90,66,218571449
"FV Trabzonhir",Türkei,128,64,217793587
"Longford City",Irland,157,119,217782956
"Weisheł Płock",Polen,154,144,217612500
"Pobizhno Poltawa",Ukraine,134,123,217459616
"Alliance Bradford",England,122,104,217411421
"SH Eastleigh",England,143,130,217188964
"SSC Heimstetten",Deutschland,127,91,217062054
"Lašva Travnik","Bosnien und Herzegowina",115,107,217058674
"Eintracht Fürstenwalde",Deutschland,115,80,217056765
"Esportiva Ponferrada",Spanien,111,104,216809906
"QSFC Dumfries",Schottland,232,159,216658569
"Zelena Stara Sagora",Bulgarien,119,111,216586188
"KF Tărlungeni",Rumänien,113,106,216448494
"KF Bacău",Rumänien,117,110,215833767
"PJ Tukru 1923",Finnland,100,92,215578374
"Campania Benevento",Italien,108,100,214962395
"Sporting Wil",Schweiz,139,125,214740055
"KF Rila Razlog",Bulgarien,135,127,214695965
"SS Carrara",Italien,140,132,214374762
"Sunny Lowestoft",England,143,126,214304103
"Zaan Alkmaar",Niederlande,176,102,214144797
"FK Birkirkara 1952",Malta,133,111,214112321
"KV Aschtarak",Armenien,123,117,213727964
"TSF Larvik",Norwegen,124,117,213220674
"Shumbrock Wanderers",Irland,112,99,213163494
"Torpdeo Slutsk",Weißrussland,95,87,212481787
"VIK Helsinki",Finnland,122,85,212439707
"Uyum Adana",Türkei,105,99,212301397
"FSC Großes Aspach",Deutschland,78,49,212084527
"FC Den Haag",Niederlande,109,95,212003753
"RC Socuéllamos",Spanien,145,135,211871065
"Dalälven Borlänge",Schweden,115,107,211769052
"AC Alessandria",Italien,158,151,211478234
"NN Tromsø",Norwegen,186,138,211376724
"Dukla Příbram",Tschechien,121,113,211068818
"BD Hønefoss",Norwegen,145,138,210991527
"ST Bozen 1996",Italien,101,93,210984004
"SC Džepčište 05",Mazedonien,99,91,210950267
"FC Caen",Frankreich,134,109,210806154
"Anastasiou Karditsa",Griechenland,136,128,210792641
"AS Vicenza",Italien,129,117,210723371
"Lok Trnje",Kroatien,127,117,210293746
"FK Pirin Simitli",Bulgarien,126,118,210215414
"Emilia Bologna",Italien,109,65,210201822
"FV Badalona",Spanien,122,111,210173341
"FK Cham",Schweiz,159,83,210093612
"FV Cavese Calcio",Italien,135,125,210067118
"Spartak Nizhnekamsk",Russland,154,147,209821836
"NK Sarajevo","Bosnien und Herzegowina",137,128,209704146
"Lincool FC",Gibraltar,184,129,209564317
"Sportivo Alaves",Spanien,138,83,209491979
"Intra Pordenone",Italien,144,136,209440499
"Høgesund FC",Norwegen,142,131,209386698
"DAX Silkeborg",Dänemark,93,77,209299925
"Intra Avellino",Italien,105,97,209296533
"Amsterdam Soccer",Niederlande,169,137,209062132
"BK Djurgårdens",Schweden,163,117,209057215
"SSK Šiauliai",Litauen,130,123,208864499
"Dynamit București",Rumänien,129,105,208793149
"UD Espania Barcelona",Spanien,204,140,208788684
"Greenock AFK",Schottland,117,108,208704771
"Tiflis SC",Georgien,142,134,208381394
"Atletický Báhoň",Slowakei,99,91,208281298
"Union Aplerbeck",Deutschland,143,99,207974113
"AS Ribelle Ravenna",Italien,138,130,207937227
"Whitehawk Eagles",England,132,126,207726913
"FC Panda Târgu Jiu",Rumänien,104,96,206884507
"FK Viborg",Dänemark,126,116,206866761
Kayserikulübü,Türkei,163,98,206845546
"RV Cumbernauld",Schottland,140,133,206809181
"FC Næstved",Dänemark,124,115,206765119
"FK Storm Graz ",Österreich,184,124,206472959
"SML Nyköping",Schweden,101,93,206421708
"Canarias Santa Cruz",Spanien,118,110,206406059
"Royal Oviedo",Spanien,166,128,206155273
"NK Niš",Serbien,117,110,205996843
"FK Rio do Conde",Portugal,131,74,205989967
"Mazowieckie Ząbki",Polen,99,92,205961984
"KS Kavajë",Albanien,133,125,205911839
"KV Tra Fiora",San Marino,123,116,205822680
"Olympia Lyon",Frankreich,146,112,205792099
"Ferriby Fighter",England,100,89,205454613
"Gimnastico Astorga",Spanien,109,101,205282289
"SK Varberg",Schweden,128,121,205139214
"FK Gävle",Schweden,116,93,204987706
"FVB Larnaka",Zypern,168,81,204982901
"Darkia Chișinău",Moldawien,136,129,204651455
"Vlok Plovdiv",Bulgarien,101,92,204638831
"West Bromwich United",England,194,134,204330758
"Uni Søborg",Dänemark,132,124,204267651
"Tuzi FV",Montenegro,102,95,203938159
"Olympique Dioa",Lettland,118,111,203665538
"Sport Örebro",Schweden,119,111,203658256
"Zinter Golubovci",Montenegro,103,95,203575169
"Zenita Kranj",Slowenien,121,113,202924649
"Krško CFC",Slowenien,114,107,202891598
"EV Córdoba",Spanien,117,110,202707528
"KV Lions",Gibraltar,124,117,202559286
"Gharabagh Ağdam",Aserbaidschan,152,120,202174528
"Victoria Hartlepool",England,181,114,201413078
"Cnopty Taraz",Kasachstan,54,46,201347460
"Dynamit Kiew",Ukraine,157,97,201237405
"FC Petite Mbour",Lettland,140,132,201016247
Kocaelispor,Türkei,147,138,200690067
"Axalupa Rom",Italien,99,86,200487812
"Cambridge Town",England,90,51,200356399
"WBV Reutlingen",Deutschland,110,80,200271029
"Zemlja Bălți",Moldawien,129,123,199738356
"JK Pärnu",Estland,101,94,199646969
"Herakles Verona",Italien,235,145,199623784
"Røga Egersund",Norwegen,100,92,199572854
"Metal Berceni",Rumänien,133,125,199368290
"AFC Aberystwyth",Wales,125,118,198981476
"Čukarički Belgrad",Serbien,150,142,198834924
"Atlético Gondomar",Portugal,78,70,198831229
"AK Wallern",Österreich,100,92,198651017
"CA Girona",Spanien,124,102,198586181
"Central Vigo",Spanien,181,112,198416266
"GSV Barsinghausen",Deutschland,144,103,198377080
"FF Methil 05",Schottland,127,111,198344401
"FV Bari",Italien,124,81,198203187
"NFK Remchingen",Deutschland,105,58,198200444
"Onoare Buzău",Rumänien,116,108,198162288
"AS Iași",Rumänien,100,92,198156291
"CQ Wanderers",Wales,139,131,198153312
"OFG Nice",Frankreich,160,99,198103953
"IS Norrköping",Schweden,245,101,197852180
"CR Krapina",Kroatien,126,118,197597088
"St. Suðuroy 05",Färöer,119,111,197578748
"KSK Gent",Belgien,262,112,197414554
"KF Bijeljina","Bosnien und Herzegowina",138,131,197304443
"KF Libertatis",San Marino,91,83,197280658
"SV Monopoli Calcio",Italien,120,113,197254255
"UN Luxemburg",Luxemburg,184,121,197125034
"HS Klabi 2005",Finnland,118,110,196909660
Sincanspur,Türkei,129,120,196884132
"AS Metz",Frankreich,92,73,196747974
"FKPG St. Johann ",Österreich,142,134,196705905
"Amor Famagusta",Zypern,87,77,196705695
"KFS Acharnes",Griechenland,150,142,196635644
"Uniona Matera",Italien,142,131,196007152
"Goloboseray FK",Türkei,229,125,195659888
"Nadyavam Dobrich",Bulgarien,91,83,195571919
"Volgar Saratov",Russland,135,108,195097806
"Rapide Lens",Frankreich,102,83,195077498
"FC Angelen",Gibraltar,110,102,195062460
"Mazow Radom",Polen,157,147,194990014
"Juve Makov",Slowakei,116,108,194963800
"Osser FK",Niederlande,164,152,194910346
"Essener TSV",Deutschland,80,49,194805397
"Boston Nomads",England,109,102,194645547
"Pohjanmaa Seinäjocki",Finnland,118,108,194448481
"Torna Budaörs",Ungarn,143,135,194415226
"Karlstad City",Schweden,119,111,193711258
"Pramy Minsk",Weißrussland,199,117,193608746
"SAK Helsinki",Finnland,130,121,193400868
"Olympique Laval",Frankreich,119,111,193193947
"Huvnar Tórshavn",Färöer,94,87,192502839
"NWV Bergisch Gladbach",Deutschland,104,78,192395698
"Juventus Prato",Italien,91,82,192096411
"FVA Hard",Österreich,136,127,191966202
"Sporting Roeselare",Belgien,139,129,191913426
"KV Nazran 92",Russland,110,102,191731704
"Schwarz-Weiß Aalen",Deutschland,147,88,191701568
"Kriti Platanias",Griechenland,101,94,191163960
"KF Welski Sofia",Bulgarien,119,111,190451421
"TuS Nordhausen",Deutschland,136,71,190351732
Apaçilespor,Türkei,66,59,190092475
"Zhkupje CF",Mazedonien,119,111,190062523
"Società Messina",Italien,132,124,190042581
"Sporting Pontisola",Italien,137,131,189930819
"Metalac Surdulica",Serbien,110,102,189744455
"VV Dessel Kings",Belgien,116,108,189656336
"FT Grenoble",Frankreich,157,142,189608294
"Aquilos Campobasso",Italien,95,88,189188307
İstanbulspocht,Türkei,135,126,189056965
"Asınördü İzmir",Türkei,102,93,189007172
Misaniaspocht,Türkei,120,113,188835861
"Beštije Kotor",Montenegro,109,102,188811517
"SA Jura Sued",Frankreich,125,104,188721626
"FK Zlín 1920",Tschechien,135,106,188416858
"Charleroi Zèbre ",Belgien,98,89,188397270
"Oxford Bulls",England,96,79,188211022
"Imker Zaprešić  FK",Kroatien,112,104,188116688
"JKB Mikkeli",Finnland,102,94,187536308
"Academic Dublin",Irland,114,101,187449357
"FK VäxjÖ 1931",Schweden,117,110,186875804
"Baia Mare CF",Rumänien,205,105,186714209
"FV Molde",Norwegen,143,119,186551321
"Gaz Pskov",Russland,152,116,186470484
"Sport Umeå",Schweden,133,125,186338091
"Tirreno Viareggio",Italien,72,60,186321763
"Swansea Town",England,175,102,186131343
"Íþróttir Hafnarfjörður",Island,185,146,186086718
"KKS Jyväskylä",Finnland,98,91,185956919
"Dinamo Šibenik",Kroatien,107,99,185876316
"Boćnust Podgorica",Montenegro,181,131,185593758
"Lanesra Tula",Russland,120,112,185159154
"FKP Timișoara",Rumänien,133,125,184943210
"Athlitikó Serres",Griechenland,127,119,184686309
Hecattespur,Türkei,121,113,184616176
"FC Oriént",Portugal,157,149,184588026
"SB Lorient",Frankreich,106,98,184372855
"SFC Torino",Italien,96,81,184205856
"Bólt Tórshavn 36",Färöer,134,121,184089584
"Tosca Lucchese",Italien,121,113,184045479
"Royal Eupen",Belgien,112,96,184032175
"Arsenal Schodsina",Weißrussland,134,126,183988842
"Union Celje",Slowenien,105,97,183975018
"Kokemäenjoki Pori",Finnland,102,94,183958376
"Super Weston CF",England,109,101,183659958
"Sociedad Almería",Spanien,83,77,183234525
"Vamos La Roda",Spanien,121,112,183128603
"Olimpios Kerkyra",Griechenland,144,127,182848240
"Robon Kazan",Russland,157,96,182845533
"Trøndelag Levanger",Norwegen,120,112,182815526
"Beanos Stirling",Schottland,124,117,182468717
"Rudar Dob SK",Slowenien,99,91,182406526
"Woch Chorzów",Polen,103,95,182211186
"NSK Olimpiko","Bosnien und Herzegowina",107,99,182116389
"ZD Dordrecht",Niederlande,139,130,182063582
"FK Fiorentino",San Marino,106,98,182005414
"Iän Åtvidaberg",Schweden,114,106,181926066
"HuFC Düsseldorf",Deutschland,137,80,181854334
"RR Kirkcaldy",Schottland,155,143,181834647
"Oudenaarde SC",Belgien,140,130,181829729
"Tórniko Zabrze",Polen,124,117,181746988
"SK Glimt Bodø",Norwegen,134,125,181667733
"Athlético Penafiel",Portugal,84,77,181580696
"OKF Montana 1948",Bulgarien,138,131,181486178
"Rakvera JK",Estland,144,137,181464383
"ASS Södertälje",Schweden,130,120,181333222
"Umbria Folignese",Italien,150,144,181303033
"Borussia Wuppertal",Deutschland,164,97,181268525
"Hemmerup AK",Dänemark,124,117,180879755
"Vestfold Sandjeford",Norwegen,106,96,180728510
"SVC Ekenäs",Finnland,116,108,180546594
"Red Devils CF",Gibraltar,109,101,180416381
"Yekatarina Yakutsk",Russland,166,152,180231323
"Metallica Mielec",Polen,128,121,180174179
"BW Linz 1998",Österreich,89,77,180102647
"Inter Floriana",Malta,154,115,180100166
"FC Mattersburg 1921",Österreich,105,85,179964982
"WAL Walhain",Belgien,126,117,179548204
"TuS Ulm 1853",Deutschland,102,75,179332079
Matalyaspur,Türkei,135,125,179232532
"FC Kirchbichl",Österreich,153,142,179217722
"FK Metallica Jajce","Bosnien und Herzegowina",118,110,179149818
"SE Zalaegerszeg",Ungarn,134,125,179097182
"US Lepe",Spanien,108,99,179053735
"FS Serravalle",San Marino,228,126,178570822
"JKA Ylivieska",Finnland,97,89,178484333
"IFK Reichenau",Österreich,123,109,178433514
"Nuneaton City 1902",England,93,86,178425035
"Jeanette Esch",Luxemburg,88,80,178367023
"RCD Ejea",Spanien,96,67,177494695
"Deportiva Fuenlabrada",Spanien,128,118,177342843
Sumsünspor,Türkei,113,99,177335002
"BK Mjällby",Schweden,122,114,177300089
"HB Paola",Malta,137,119,177282565
"Västra Borås ",Schweden,134,126,177042877
"AS Strassen",Luxemburg,129,117,176908349
"Hellas Agrinio",Griechenland,95,88,176760963
"Carmathen United",Wales,83,75,176665737
"VF Groningen",Niederlande,152,123,176556793
"FK Parndorf",Österreich,93,84,176497128
"FC Štip 95",Mazedonien,138,123,176461215
"FV Kaunas",Litauen,113,105,176206681
"FK Stadtallendorf 1923",Deutschland,126,118,176116138
"Mesta Bansko KF",Bulgarien,121,113,176105742
"KVI Stavanger",Norwegen,130,106,175972087
"Reyocretivo Huelva",Spanien,121,113,175593361
"Sumqayıt CF",Aserbaidschan,98,90,175404514
"Frihed Fredericia",Dänemark,118,96,175246796
"Atlético Albacete",Spanien,114,106,175013023
"Športový Krásna",Slowakei,104,96,174991938
"Gainsborough United",England,109,102,174861731
"Napk Mykolaiv",Ukraine,129,122,174783519
"Puña Tafalla",Spanien,74,66,174485430
"Chevrokry Głogów",Polen,121,113,174322465
"Oabla Koper",Slowenien,101,94,174239267
"Sportska Pleven",Bulgarien,101,94,174232212
"Kotorosl Yaroslavl",Russland,118,108,174160545
"Açores Delgada",Portugal,99,91,174152912
"KS Grimstad",Norwegen,122,114,174136843
"Dinamo Bolnisi",Georgien,98,93,173728749
"Spotivo Zigi",Lettland,97,91,173573261
"Häcken GB",Schweden,147,126,173341865
Dzenlispur,Türkei,76,68,173177661
"Smehja Komsomolsk",Russland,111,103,173045291
"EF Lleida",Spanien,95,86,173004317
"SL Hradiště",Tschechien,113,105,172981021
"FK Kissamikos",Griechenland,91,82,172631460
"FSC Setúbal",Portugal,152,98,172630497
"SSC Vilafranca",Spanien,123,115,172617768
"FV Doncla Praha",Tschechien,80,72,172491079
"Austria Imst",Österreich,133,126,172392178
"ACF Hamilton",Schottland,119,105,172106217
"Sheffield Swords ",England,134,100,171966299
"Braintree Union",England,78,70,171938325
"Cyprus Aradippou",Zypern,120,112,171867287
"Druja Pakruojis",Litauen,105,97,171696607
"SSC Lugano",Schweiz,171,134,171235044
"Luleå SK",Schweden,92,83,171024884
"AS Perugia",Italien,151,120,171008998
"GK Kauniainen",Finnland,105,97,170992982
"Graaf Doetinchem",Niederlande,152,106,170899447
"Uniøn Bryne",Norwegen,119,111,170643148
"Kurd Borlänge",Schweden,144,135,170619813
"Slavonia Brdo",Kroatien,120,112,170388662
"Fier Galați",Rumänien,98,91,170341564
"KV Aktobe 1965",Kasachstan,166,143,170335652
"SC Mechelen 1905",Belgien,126,118,169824920
"Intra Brașov",Rumänien,145,137,169823690
"Okzhlïmpïada Kokshetau",Kasachstan,134,126,169611662
"Møre Kristiansund",Norwegen,133,125,169385285
"Oldham City",England,134,117,169324351
"JK Sillam",Estland,117,109,169320204
"US Høddvik",Norwegen,99,93,169172891
"Lugan County",Nordirland,100,91,169092858
"FK Kuopio",Finnland,123,115,169084061
"SCU Sassuolo",Italien,132,111,168762287
"KS Kostrote Krujë",Albanien,90,82,168090334
"SSC Leffe-Albino",Italien,122,114,167947709
"Kassaly Tschymkent",Kasachstan,125,116,167851913
"Fortuna Norderstedt",Deutschland,110,75,167795608
"Sesvete Zagreb",Kroatien,84,76,167793613
"SC Waller Seekirchen",Österreich,120,97,167665108
"Dinamo Hrodna",Weißrussland,98,90,167580063
"Spartak Afipsky",Russland,118,110,167483537
"DB Spakenburg",Niederlande,144,135,167264163
"Zefçi Baku",Aserbaidschan,134,124,167134658
"Peterborough Elitists",England,120,105,166995943
"Concordie Constanța",Rumänien,106,98,166765684
"TB Overijse 76",Belgien,85,77,166409553
"SN Teramo Calcio",Italien,117,109,166184133
"SS Stradella Voghera",Italien,89,79,166071051
"FC Newtown 76",Wales,139,132,165999847
"1. FC Bremer Neustadt",Deutschland,114,96,165897462
"Corse Bastia",Frankreich,113,99,165848736
"Mitchelstown CF",Irland,115,107,165665539
"Eltersdorfer SV",Deutschland,153,95,165083625
"Concordia Rieti",Italien,95,86,164887264
"FC Ivantsminda",Georgien,103,96,164782601
"FK Schwaz",Österreich,80,71,164695777
"FV Maribor 61",Slowenien,96,89,164590939
"FAK Kemi",Finnland,140,132,164557763
"ZS Luzern",Schweiz,117,102,164507563
"Intra Sozopol",Bulgarien,142,135,164450464
"Southend Athletics",England,93,66,164324748
"Aris Katokopia",Zypern,111,104,164130646
"IP Ljungskile",Schweden,94,87,164081403
"Ritzinger SK",Österreich,132,117,163947788
"AK Sluvaria Praha",Tschechien,164,102,163522872
"Gjumri FC",Armenien,120,112,163468480
"IKK Klaksvík",Färöer,104,96,163304953
"Vík Ólafsvík 1927",Island,163,107,163277484
"Torpeda Luzk",Ukraine,125,114,163140783
"Pohjanmaa Kokkola",Finnland,100,92,162890244
"SSC Zwolle 91",Niederlande,125,82,162868638
"FC Demba",Lettland,105,97,162655461
"Cherkasy FC",Ukraine,84,77,162606600
"Universitate Clinceni",Rumänien,130,123,162496511
"SI Hobro",Dänemark,145,68,162382636
"Turpedia Armavir",Russland,88,80,162184059
"Tombola Tuzla","Bosnien und Herzegowina",101,93,162114680
Şunıarfanorspor,Türkei,125,117,162052176
"SK Austria Ferlach",Österreich,81,75,161955662
"Bjelovar Ždralovi",Kroatien,97,90,161761215
"FC Hapa Tel-Avia",Israel,153,121,161712726
"Lava Southport",England,87,52,161671157
"Unione Spezia",Italien,106,98,161594957
"Unirea Brăila",Rumänien,84,76,161563989
"St. Patrick CF",Schottland,125,101,161552525
"Radnički SB",Kroatien,158,151,161520221
"Drogheda City",Irland,82,74,161448927
"PL Atletica Crema",Italien,115,107,161155998
"SSC Lanciano",Italien,98,66,161132630
"VT Arnhem",Niederlande,84,68,161110401
"Crișana Arad",Rumänien,99,91,160940003
"More Zvornik","Bosnien und Herzegowina",117,109,160857760
"Inter Hamoir",Belgien,91,81,160485613
"Brackley Stars",England,103,95,160412919
"Kidderminster Warriors",England,98,90,160198848
"Bromma Stockholm",Schweden,117,108,160173299
"FC Jeddeloh 1953",Deutschland,87,66,160082859
"Saint Ptuj 1935",Slowenien,99,91,160037781
"RO Russe",Bulgarien,114,106,160030996
"FC Tiber",Italien,59,51,160017264
"Unione Rimini",Italien,110,104,159835423
"Aero Broughton",Wales,112,103,159574357
"Rasensport Herkenrath",Deutschland,110,97,159501800
"Racing San Sebastián",Spanien,98,73,159272044
"IKK Falkenberg",Schweden,117,108,159260691
"KS Kamëz",Albanien,91,84,159206292
"Unión Madeira",Portugal,133,110,159058274
"Fortuna Essen",Deutschland,87,37,158721882
"York Soccer",England,109,100,158702082
"Vitória Freamunde",Portugal,122,114,158679595
" YFC Diósgyőr",Ungarn,119,111,158625936
"Unire Botoșani",Rumänien,97,89,158396912
"FK Differdange",Luxemburg,107,99,158296728
"Podla Białystok",Polen,91,84,158102881
"SCC Neuchâtel",Schweiz,123,76,157962162
"Uniune Orhei",Moldawien,102,94,157371425
"BO Praha 1903",Tschechien,131,105,157040093
"FK Mezőkövesd 76",Ungarn,86,78,156795295
"Speertak Rotterdam",Niederlande,163,145,156746170
"Nożna Bydgoszcz",Polen,122,114,156705749
"WFC Erkenschwick",Deutschland,114,102,156425133
"Olympiakos Achna",Zypern,85,77,155892929
"Friidrott Sundsvall",Schweden,114,104,155791998
"Royal Lier",Belgien,135,98,155720995
"FK Bojaro Tarnovo",Bulgarien,120,114,155670444
"FK Martuni",Armenien,98,91,155525995
"Züricher SK",Schweiz,106,93,155501695
"Puglia Andria",Italien,135,127,155339584
"Scezny Pruszków",Polen,119,113,155250021
"Viitor Râmnicu Vâlcea",Rumänien,87,81,154957925
"FC Florell",Estland,88,80,154698517
"Hurricàn Valencia",Spanien,126,119,154683181
"Kilkee FC",Irland,203,90,154672906
"Voort Deventer",Niederlande,110,89,154628852
"Herakles Thessaloniki ",Griechenland,127,119,154546233
"Atlético Talavero",Spanien,75,67,154525092
"Royal Murcia",Spanien,70,60,154472891
"RCD Sestao",Spanien,143,135,154220227
"Desportivo Famalicão",Portugal,140,132,154090632
"SWBH Villingen",Deutschland,102,83,153944113
"FK Gračanica","Bosnien und Herzegowina",114,106,153770204
"AK Stara Zagora",Bulgarien,81,73,153765574
"UK Wilrijk",Belgien,119,112,153755546
"Chaniakose FK",Griechenland,108,100,153569013
"FC Phynx",Gibraltar,102,90,153557799
"Pallok Vantaa",Finnland,124,114,153537648
"Korčula Blato",Kroatien,119,111,153461818
"Atletism Balotești",Rumänien,134,127,153298885
"Société Maasmechelen",Belgien,122,115,153173459
"JS Jako Pietarsaari",Finnland,94,86,153012735
"ZH Winterthur",Schweiz,122,88,152867603
"RCD L’Hospitalet",Spanien,103,95,152863993
"Woolfield FC",Nordirland,191,112,152722015
"Športno Gorica",Slowenien,100,92,152644441
"Eintracht Rudolstadt",Deutschland,101,75,152628829
"KSA Siedlce",Polen,99,90,152575272
"POK Livadia",Griechenland,110,100,152486063
"Sportiva Caserta",Italien,118,111,152483075
"FKS Kópavogur",Island,82,74,152415737
"SC Waterford",Irland,96,89,152369388
"Sterk Kristiansand",Norwegen,100,92,152278726
"Sportinho Lissabon",Portugal,207,103,152254684
Ümrüsyespur,Türkei,101,94,152213499
"Sportska Gabela","Bosnien und Herzegowina",91,83,152167793
"FK Gliwice",Polen,126,101,151837893
"Nabyla Qostanai",Kasachstan,138,131,151828944
"UD Portugalete",Spanien,131,123,151806271
"Sicilia Catania",Italien,95,88,151799929
"FK Nizhny",Russland,121,100,151703337
"Unione Terni",Italien,91,68,151524443
"Dynamit Moskva",Russland,186,107,151510717
"Istria Novigrad",Kroatien,102,94,151301005
"CS St. Maria de Feira",Portugal,101,93,151254539
"WSV Kristall Wattens",Österreich,148,100,150929456
"Dynamit Astana",Kasachstan,129,121,150617250
"QP Glasgow 1867",Schottland,108,72,150053167
"Brescia CF",Italien,122,105,150009871
"Atletik Nikosia",Zypern,142,86,149805709
"Olimpia Novgorod",Russland,75,68,149765713
"FC Clermont-Ferrand",Frankreich,74,64,149648313
"Sportiva Leioa",Spanien,80,73,149638965
"RW Meuselwitz",Deutschland,100,66,149503893
"Brócoli Lorca",Spanien,172,121,149503316
